playoff_ties,playoff_win_lose,team,ties,loses,playoff_loses,playoff_wins,overtime_loses,playoff_note,season,leage,wins,points,finishing_position,points_percentage,games_played
0,0,STL,14,15,0,0,0,,1970-71,NHL,21,56,,.560,50
0,.364,STL,6,19,7,4,0,,1971-72,NHL,19,44,11,.500,44
0,0,STL,5,6,0,0,0,,1972-73,NHL,2,9,,.346,13
0,0,NYI,18,41,0,0,0,,1973-74,NHL,19,56,,.359,78
0,.529,NYI,22,25,8,9,0,,1974-75,NHL,33,88,17,.550,80
0,.538,NYI,17,21,6,7,0,,1975-76,NHL,42,101,13,.631,80
0,.667,NYI,12,21,4,8,0,,1976-77,NHL,47,106,12,.663,80
0,.429,NYI,15,17,4,3,0,,1977-78,NHL,48,111,7,.694,80
0,.600,NYI,14,15,4,6,0,,1978-79,NHL,51,116,10,.725,80
0,.714,NYI,13,28,6,15,0,Stanley Cup Champions,1979-80,NHL,39,91,21,.569,80
0,.833,NYI,14,18,3,15,0,Stanley Cup Champions,1980-81,NHL,48,110,18,.688,80
0,.789,NYI,10,16,4,15,0,Stanley Cup Champions,1981-82,NHL,54,118,19,.738,80
0,.750,NYI,12,26,5,15,0,Stanley Cup Champions,1982-83,NHL,42,96,20,.600,80
0,.571,NYI,4,26,9,12,0,Prince of Wales Conference Champions,1983-84,NHL,50,104,21,.650,80
0,.400,NYI,6,34,6,4,0,,1984-85,NHL,40,86,10,.538,80
0,.000,NYI,12,29,3,0,0,,1985-86,NHL,39,90,3,.563,80
0,0,NYI,3,29,0,0,0,,1988-89,NHL,21,45,,.425,53
0,.200,NYI,11,38,4,1,0,,1989-90,NHL,31,73,5,.456,80
0,0,NYI,10,45,0,0,0,,1990-91,NHL,25,60,,.375,80
0,0,NYI,11,35,0,0,0,,1991-92,NHL,34,79,,.494,80
0,.500,NYI,7,37,9,9,0,,1992-93,NHL,40,87,18,.518,84
0,.000,NYI,12,36,4,0,0,,1993-94,NHL,36,84,4,.500,84
0,0,NYI,0,0,0,0,0,,2007-08,NHL,1,2,,1.000,1
