playoff_ties,playoff_win_lose,team,ties,loses,playoff_loses,playoff_wins,overtime_loses,playoff_note,season,leage,wins,points,finishing_position,points_percentage,games_played
0,.400,QUE,16,29,3,2,0,,1980-81,NHL,29,74,5,.500,74
0,.438,QUE,16,31,9,7,0,,1981-82,NHL,33,82,16,.513,80
0,.250,QUE,12,34,3,1,0,,1982-83,NHL,34,80,4,.500,80
0,.556,QUE,10,28,4,5,0,,1983-84,NHL,42,94,9,.588,80
0,.500,QUE,9,30,9,9,0,,1984-85,NHL,41,91,18,.569,80
0,.000,QUE,6,31,3,0,0,,1985-86,NHL,43,92,3,.575,80
0,.538,QUE,10,39,6,7,0,,1986-87,NHL,31,72,13,.450,80
0,0,NYR,10,34,0,0,0,,1987-88,NHL,36,82,,.513,80
0,0,NYR,8,33,0,0,0,,1988-89,NHL,37,82,,.526,78
0,0,QUE,7,61,0,0,0,,1989-90,NHL,12,31,,.194,80
