playoff_ties,playoff_win_lose,team,ties,loses,playoff_loses,playoff_wins,overtime_loses,playoff_note,season,leage,wins,points,finishing_position,points_percentage,games_played
0,.500,STL,12,35,5,5,0,,1988-89,NHL,33,78,10,.488,80
0,.583,STL,9,34,5,7,0,,1989-90,NHL,37,83,12,.519,80
0,.462,STL,11,22,7,6,0,,1990-91,NHL,47,105,13,.656,80
0,.333,STL,11,33,4,2,0,,1991-92,NHL,36,83,6,.519,80
0,.000,BOS,7,26,4,0,0,,1992-93,NHL,51,109,4,.649,84
0,.462,BOS,13,29,7,6,0,,1993-94,NHL,42,97,13,.577,84
0,.200,BOS,3,18,4,1,0,,1994-95,NHL,27,57,5,.594,48
0,0,CGY,15,41,0,0,0,,1997-98,NHL,26,67,,.409,82
0,0,CGY,12,40,0,0,0,,1998-99,NHL,30,72,,.439,82
0,0,CGY,10,36,0,0,5,,1999-00,NHL,31,77,,.470,82
0,.200,CHI,13,27,4,1,1,,2001-02,NHL,41,96,5,.585,82
0,0,CHI,13,33,0,0,6,,2002-03,NHL,30,79,,.482,82
0,0,CHI,11,43,0,0,8,,2003-04,NHL,20,59,,.360,82
