pim,team,assists,plus_minus,points,league,games_played,year,age,goals
4,Toronto Marlboros,0,0,0,OHA-Jr.,4,1965-66,16,0
22,Toronto Marlboros,10,0,21,OHA-Jr.,17,1966-67,17,11
23,Toronto Marlboros,8,0,18,M-Cup,9,1966-67,17,10
4,Toronto Marlboros,3,0,5,OHA-Jr.,5,1967-68,18,2
6,Toronto Marlboros,1,0,3,OHA-Jr.,6,1968-69,19,2
4,Tulsa Oilers,2,0,2,CHL,5,1969-70,20,0
0,Buffalo Bisons,0,0,0,AHL,2,1969-70,20,0
4,Phoenix Roadrunners,3,0,4,WHL,10,1970-71,21,1
6,Barrie Flyers,7,0,22,OHA-Sr.,18,1971-72,22,15
4,Port Huron Flags,7,0,9,IHL,5,1974-75,25,2
