bad_start,shutouts,points,goals_allowed_average,goals_saved_aboved_average,shots_againist,league,games_started,age,good_start_precentages,saves,pim,goals,good_starts,goals_allowed_precentage,goals_allowed,saves_percentage,year,team,loses,assists,ties,wins,games_played,minutes
0,0,0,3.54,0,0,Swiss,0,18,0,0,0,0,0,0,34,0,1996-97,HC Fribourg-Gotteron,0,0,0,0,10,577
0,0,0,2.00,0,0,WJC-A,0,18,0,0,0,0,0,0,10,0,1996-97,Switzerland,0,0,0,0,5,300
0,0,0,1.58,0,0,WJC-A,0,19,0,0,0,0,0,0,10,0,1997-98,Switzerland,0,0,0,0,6,379
0,0,0,3.80,0,34,AHL,0,19,0,29,0,0,0,0,5,.853,1997-98,Hershey Bears,0,0,1,0,2,79
0,0,0,1.00,0,0,Swiss,0,19,0,0,0,0,0,0,1,0,1997-98,HC Fribourg-Gotteron,0,0,0,1,1,60
0,0,0,2.87,0,0,WC-A,0,19,0,0,0,0,0,0,18,0,1997-98,Switzerland,0,0,0,0,7,376
0,1,0,3.29,0,715,ECHL,0,19,0,633,0,0,0,0,82,.885,1997-98,2 Teams,10,0,3,10,27,1494
0,0,0,3.35,0,503,ECHL,0,19,0,451,0,0,0,0,52,.897,1997-98,Chesapeake Icebreakers,7,0,2,5,17,930
0,1,0,3.19,0,212,ECHL,0,19,0,182,0,0,0,0,30,.858,1997-98,Wheeling Nailers,3,0,1,5,10,564
0,2,1,2.45,0,991,AHL,0,20,0,912,0,0,0,0,79,.920,1998-99,Hershey Bears,10,1,5,17,38,1932
0,1,0,4.48,0,0,WC-A,0,20,0,0,0,0,0,0,13,0,1998-99,Switzerland,0,0,0,0,4,174
0,1,1,3.31,0,1833,AHL,0,21,0,1653,7,0,0,0,180,.902,1999-00,Hershey Bears,23,1,2,29,58,3259
0,0,0,4.44,0,0,Olympics,0,23,0,0,0,0,0,0,6,0,2001-02,Switzerland,0,0,0,1,2,81
0,0,1,2.41,0,0,Swiss,0,26,0,0,8,0,0,0,41,0,2004-05,HC Lugano,2,1,3,12,18,1019
0,0,0,3.00,0,31,WC-A,0,26,0,28,0,0,0,0,3,.903,2004-05,Switzerland,0,0,1,0,1,60
0,0,0,2.10,0,0,Olympics,0,27,0,0,0,0,0,0,7,0,2005-06,Switzerland,0,0,2,1,4,200
0,0,0,2.67,0,0,WC-A,0,27,0,0,0,0,0,0,16,0,2005-06,Switzerland,2,0,2,2,6,359
0,0,0,6.00,0,29,WC-A,0,28,0,23,10,0,0,0,6,.793,2006-07,Switzerland,1,0,0,0,1,60
0,0,0,2.58,0,127,AHL,0,29,0,114,0,0,0,0,13,.898,2007-08,San Antonio Rampage,3,0,0,2,5,302
0,2,2,2.63,0,0,Swiss,0,29,0,0,6,0,0,0,69,0,2007-08,HC Lugano,14,2,0,12,26,1576
0,2,2,2.84,0,0,Swiss,0,30,0,0,22,0,0,0,140,0,2008-09,HC Lugano,22,2,0,27,49,2953
0,2,3,3.23,0,0,Swiss,0,31,0,0,14,0,0,0,156,0,2009-10,HC Lugano,24,3,0,23,48,2897
0,3,0,3.10,0,0,Swiss,0,32,0,0,6,0,0,0,108,0,2010-11,HC Lugano,24,0,0,12,36,2088
0,1,0,2.86,0,778,AHL,0,33,0,696,2,0,0,0,82,.895,2011-12,St. John\'s IceCaps,12,0,2,15,31,1722
0,2,2,3.91,0,0,Swiss,0,34,0,0,16,0,0,0,147,0,2012-13,Rapperswil-Jona Lakers,24,2,0,15,40,2257
