pim,team,assists,plus_minus,points,league,games_played,year,age,goals
0,North Battleford Beavers,1,0,2,N-SSHL,4,1936-37,20,1
2,North Battleford Beavers,2,0,6,Al-Cup,12,1936-37,20,4
4,Creighton Eagles,1,0,1,NOHA,4,1937-38,21,0
11,Lethbridge Maple Leafs,2,0,6,ASHL,7,1938-39,22,4
2,Lethbridge Maple Leafs,0,0,0,Al-Cup,3,1938-39,22,0
0,Springfield Indians,3,0,3,AHL,3,1940-41,24,0
0,Pittsburgh Hornets,1,0,1,AHL,2,1942-43,26,0
2,Saskatoon HMCS Unicorn,2,0,7,SNDHL,4,1943-44,27,5
4,Dallas Texans,0,0,0,USHL,6,1946-47,30,0
0,Dallas Texans,1,0,1,USHL,4,1948-49,32,0
