pim,team,assists,plus_minus,points,league,games_played,year,age,goals
24,Burnaby Winter Club,31,0,48,Minor-BC,64,2002-03,14,17
8,Richmond Sockeyes,9,0,12,PIJHL,41,2003-04,15,3
0,Calgary Hitmen,0,-1,0,WHL,1,2003-04,15,0
19,Calgary Hitmen,10,8,10,WHL,66,2004-05,16,0
28,Calgary Hitmen,20,14,24,WHL,70,2005-06,17,4
32,Calgary Hitmen,39,16,47,WHL,63,2006-07,18,8
2,Canada,1,1,1,WJC-A,6,2006-07,18,0
15,Calgary Hitmen,29,26,36,WHL,60,2007-08,19,7
0,Canada,1,2,2,WJC-A,7,2007-08,19,1
10,Hershey Bears,16,23,20,AHL,48,2008-09,20,4
10,Hershey Bears,18,34,21,AHL,56,2009-10,21,3
