bad_start,shutouts,points,goals_allowed_average,goals_saved_aboved_average,shots_againist,league,games_started,age,good_start_precentages,saves,pim,goals,good_starts,goals_allowed_precentage,goals_allowed,saves_percentage,year,team,loses,assists,ties,wins,games_played,minutes
0,1,0,4.87,0,0,QMJHL,0,17,0,0,0,0,0,0,225,0,1969-70,Sherbrooke Castors,25,0,2,20,50,2770
0,0,0,4.72,0,0,QMJHL,0,18,0,0,0,0,0,0,181,0,1970-71,Sherbrooke Castors,17,0,0,22,49,2300
0,2,0,4.95,0,0,QMJHL,0,19,0,0,0,0,0,0,187,0,1971-72,Sherbrooke Castors,19,0,0,19,43,2265
0,5,0,2.39,0,0,EHL,0,20,0,0,0,0,0,0,90,0,1972-73,Syracuse Blazers,0,0,0,0,38,2255
0,0,0,4.15,0,0,AHL,0,21,0,0,0,0,0,0,199,0,1973-74,Jacksonville Barons,27,0,4,17,54,2878
0,0,0,3.06,0,0,CHL,0,22,0,0,0,0,0,0,105,0,1974-75,Denver Spurs,13,0,3,19,36,2060
0,0,0,3.58,0,0,AHL,0,23,0,0,0,0,0,0,37,0,1975-76,Providence Reds,4,0,3,3,10,620
0,1,0,2.73,0,0,CHL,0,24,0,0,0,0,0,0,83,0,1976-77,Kansas City Blues,4,0,4,21,31,1826
0,1,0,2.44,0,0,CHL,0,25,0,0,0,0,0,0,20,0,1977-78,Salt Lake Golden Eagles,3,0,0,5,9,492
0,0,0,5.25,0,0,AHL,0,26,0,0,0,0,0,0,108,0,1978-79,Philadelphia Firebirds,14,0,1,4,22,1235
0,0,0,4.27,0,0,AHL,0,27,0,0,0,0,0,0,95,0,1979-80,Binghamton Dusters,13,0,1,7,25,1334
0,1,0,3.19,0,0,NBIHA,0,29,0,0,0,0,0,0,69,0,1981-82,Cap Pele Caps,0,0,0,0,22,1296
0,0,0,3.96,0,0,NBIHA,0,30,0,0,0,0,0,0,81,0,1982-83,Cap Pele Caps,0,0,0,0,21,1226
0,0,0,3.00,0,0,NBSHL,0,34,0,0,0,0,0,0,6,0,1986-87,Charlottetown Islanders,0,0,0,2,2,120
