pim,team,assists,plus_minus,points,league,games_played,year,age,goals
24,Beamsville Blades,5,0,8,OHA-C,19,1982-83,15,3
107,Grimsby Peach Kings,20,0,25,ON-Jr.B,39,1983-84,16,5
153,Grimsby Peach Kings,22,0,32,ON-Jr.B,42,1984-85,17,10
143,Toronto Marlboros,35,0,38,OHL,64,1985-86,18,3
4,Springfield Indians,1,0,2,AHL,4,1985-86,18,1
138,Toronto Marlboros,15,0,18,OHL,57,1986-87,19,3
148,Springfield Indians,26,0,32,AHL,76,1987-88,20,6
8,Peoria Rivermen,1,0,1,IHL,5,1987-88,20,0
122,Springfield Indians,32,0,49,AHL,69,1988-89,21,17
74,Springfield Indians,42,0,54,AHL,74,1989-90,22,12
16,Capital District Islanders,2,0,2,AHL,3,1991-92,24,0
23,Hartford Wolf Pack,7,11,11,AHL,16,1998-99,31,4
