pim,team,assists,plus_minus,points,league,games_played,year,age,goals
11,Sorel Eperviers,21,0,44,QMJHL,24,1971-72,17,23
54,Sorel Eperviers,62,0,102,QMJHL,63,1972-73,18,40
120,Sorel Eperviers,81,0,143,QMJHL,70,1973-74,19,62
14,Virginia Wings,13,0,22,AHL,49,1974-75,20,9
4,Kansas City Blues,5,0,8,CHL,4,1976-77,22,3
4,Fort Worth Texans,1,0,3,CHL,9,1977-78,23,2
2,Milwaukee Admirals,5,0,8,IHL,15,1978-79,24,3
30,Nova Scotia Voyageurs,20,0,31,AHL,33,1979-80,25,11
34,Milwaukee Admirals,37,0,62,IHL,34,1979-80,25,25
22,Milwaukee Admirals,49,0,79,IHL,71,1980-81,26,30
17,2 Teams,24,0,37,IHL,44,1981-82,27,13
4,Milwaukee Admirals,15,0,23,IHL,22,1981-82,27,8
13,Kalamazoo Wings,9,0,14,IHL,22,1981-82,27,5
