pim,team,assists,plus_minus,points,league,games_played,year,age,goals
24,Quebec AA Aces,23,0,56,QAHA,28,1998-99,13,33
42,Quebec AA Aces,23,0,35,QAHA,26,1999-00,14,12
48,Ste-Foy Gouverneurs,35,0,52,QAAA,39,2000-01,15,17
6,Team Quebec,3,0,6,U-17,6,2000-01,15,3
51,Moncton Wildcats,28,-20,59,QMJHL,66,2001-02,16,31
2,Canada,0,0,0,8-Nations,5,2001-02,16,0
90,Moncton Wildcats,52,33,101,QMJHL,71,2002-03,17,49
12,Canada,4,0,8,WJ18-A,7,2002-03,17,4
80,Moncton Wildcats,46,39,82,QMJHL,66,2003-04,18,36
114,Moncton Wildcats,36,18,71,QMJHL,68,2004-05,19,35
33,Cleveland Barons,23,-2,43,AHL,49,2005-06,20,20
2,Worcester Sharks,4,4,7,AHL,10,2006-07,21,3
8,Albany Devils,3,-4,6,AHL,17,2011-12,26,3
17,Albany Devils,4,-1,5,AHL,9,2014-15,29,1
