pim,team,assists,plus_minus,points,league,games_played,year,age,goals
43,Brantford Alexander B\'s,13,0,16,ON-Jr.B,39,1985-86,16,3
115,Stratford Cullitons,20,0,31,ON-Jr.B,31,1986-87,17,11
88,Bowling Green University,8,0,13,CCHA,43,1987-88,18,5
140,Bowling Green University,21,0,32,CCHA,46,1988-89,19,11
140,Bowling Green University,36,0,59,CCHA,42,1989-90,20,23
0,Canada,2,0,2,WEC-A,2,1990-91,21,0
6,Canada,2,0,2,WC-A,8,1993-94,24,0
0,Canada,1,0,1,W-Cup,4,1996-97,27,0
22,Canada,2,0,4,WC-A,11,1996-97,27,2
2,Canada,1,0,2,Olympics,6,1997-98,28,1
6,Canada,0,0,1,WC-A,5,1997-98,28,1
12,Canada,5,0,7,WC-A,10,1998-99,29,2
2,Canada,2,2,3,Olympics,6,2001-02,32,1
2,Canada,1,0,1,Olympics,6,2005-06,36,0
