pim,team,assists,plus_minus,points,league,games_played,year,age,goals
14,Vancouver Giants,1,3,5,WHL,18,2005-06,18,4
4,Vancouver Giants,1,0,1,M-Cup,5,2005-06,18,0
14,Vancouver Giants,6,8,12,WHL,22,2006-07,19,6
2,Vancouver Giants,5,2,6,M-Cup,5,2006-07,19,1
2,Vancouver Giants,5,3,8,WHL,10,2007-08,20,3
8,Manitoba Moose,2,0,5,AHL,21,2008-09,21,3
2,Manitoba Moose,1,0,3,AHL,6,2009-10,22,2
8,Manitoba Moose,1,0,2,AHL,14,2010-11,23,1
6,HC Sparta Praha,2,0,5,CzRep,6,2011-12,24,3
0,HC Slovan Bratislava,0,0,2,KHL,4,2012-13,25,2
