average_ice_time,points,game_winning_goals,shorthanded_goals,league,age,even_strength_assists,pim,plus_minus,shots,even_strength_goals,power_play_goals,shorthanded_assists,power_play_assists,year,team,goals,assists,awards,shotsPercentage,total_ice_time,games_played
,3,0,0,NHL,23,3,24,2,0,0,0,0,0,1982-83,EDM,0,3,[],0,,5
,3,1,0,NHL,24,2,32,5,12,1,0,0,0,1983-84,TOT,1,2,[],8.3,,16
,1,0,0,NHL,24,1,2,0,3,0,0,0,0,1983-84,EDM,0,1,[],0.0,,4
,2,1,0,NHL,24,1,30,5,9,1,0,0,0,1983-84,BOS,1,1,[],11.1,,12
,16,0,0,NHL,25,13,263,0,36,3,0,0,0,1984-85,BOS,3,13,[],8.3,,75
,8,0,0,NHL,26,7,80,8,34,1,0,0,0,1985-86,BOS,1,7,[],2.9,,61
,10,0,0,NHL,27,8,133,1,32,2,0,0,0,1986-87,WSH,2,8,[],6.3,,66
,1,0,0,NHL,28,1,70,-5,6,0,0,0,0,1987-88,BOS,0,1,[],0.0,,19
,0,0,0,NHL,29,0,8,-2,3,0,0,0,0,1988-89,DET,0,0,[],0.0,,6
,0,0,0,NHL,30,0,0,-1,0,0,0,0,0,1989-90,BOS,0,0,[],0,,2
