pim,team,assists,plus_minus,points,league,games_played,year,age,goals
74,Drummondville Voltigeurs,3,0,8,QMJHL,17,1987-88,17,5
6,Drummondville Voltigeurs,1,0,1,M-Cup,3,1987-88,17,0
27,Drummondville Voltigeurs,2,0,2,QMJHL,4,1988-89,18,0
59,Laval Titan,13,0,20,QMJHL,13,1989-90,19,7
12,Laval Titan,2,0,5,M-Cup,4,1989-90,19,3
28,Hershey Bears,5,0,6,AHL,7,1990-91,20,1
32,P.E.I. Senators,2,0,3,AHL,9,1994-95,24,1
0,Grand Rapids Griffins,0,0,0,IHL,3,1997-98,27,0
56,SSI Vipiteno,2,0,6,Italy,6,1998-99,28,4
12,Long Beach Ice Dogs,0,0,0,IHL,4,1999-00,29,0
