pim,team,assists,plus_minus,points,league,games_played,year,age,goals
43,Quebec Frontenacs,29,0,50,QJHL,63,1953-54,19,21
52,Quebec Frontenacs,33,0,58,QJHL,45,1954-55,20,25
0,Winnipeg Warriors,0,0,0,WHL,2,1955-56,21,0
28,Shawinigan Cataracts,22,0,32,QHL,54,1955-56,21,10
27,Shawinigan Cataracts,30,0,45,QHL,65,1956-57,22,15
60,Shawinigan Cataracts,38,0,61,QHL,63,1957-58,23,23
19,Rochester Americans,11,0,13,AHL,43,1958-59,24,2
24,St. Paul Saints,14,0,23,IHL,35,1960-61,26,9
48,St. Paul Saints,31,0,58,IHL,57,1961-62,27,27
29,St. Paul Saints,34,0,65,IHL,65,1962-63,28,31
16,St. Paul Rangers,11,0,17,CPHL,29,1963-64,29,6
