pim,team,assists,plus_minus,points,league,games_played,year,age,goals
49,Cushing Academy Penguins,26,0,57,High-MA,28,2002-03,17,31
96,Cushing Academy Penguins,53,0,90,High-MA,31,2003-04,18,37
50,Boston University Terriers,13,-1,23,H-East,35,2004-05,19,10
0,United States,1,-4,2,WJC-A,3,2004-05,19,1
2,Portland Pirates,1,-1,2,AHL,6,2004-05,19,1
40,Hershey Bears,28,-5,36,AHL,52,2005-06,20,8
12,United States,1,-1,8,WJC-A,7,2005-06,20,7
49,Hershey Bears,33,16,58,AHL,76,2006-07,21,25
56,Hershey Bears,35,11,63,AHL,73,2007-08,22,28
57,Hershey Bears,52,10,73,AHL,69,2008-09,23,21
26,Hershey Bears,48,20,70,AHL,49,2009-10,24,22
0,Atlant Moscow Region,0,0,1,KHL,8,2010-11,25,1
24,HC Lugano,19,0,33,Swiss,39,2010-11,25,14
42,Hershey Bears,66,-1,93,AHL,73,2011-12,26,27
34,Providence Bruins,28,4,38,AHL,39,2012-13,27,10
