average_ice_time,total_shots,points,game_winning_goals,shorthanded_goals,blocks,league,age,even_strength_assists,faceoff_wins,pim,plus_minus,shots,faceoff_percentage,even_strength_goals,faceoff_loses,power_play_goals,shorthanded_assists,power_play_assists,takeaways,year,team,goals,hits,assists,giveaways,shotsPercentage,total_ice_time,games_played,awards
,0,1,0,0,0,NHL,20,0,0,2,1,4,0,1,0,0,0,0,0,1997-98,PHX,1,0,0,0,25.0,,5,[]
11:13,0,22,2,0,0,NHL,21,12,0,30,-3,90,0,6,0,2,0,2,0,1998-99,PHX,8,0,14,0,8.9,718,64,[]
7:41,0,2,0,0,0,NHL,22,1,0,0,0,9,0,1,0,0,0,0,0,1999-00,PHX,1,0,1,0,11.1,100,13,[]
10:50,0,15,1,0,0,NHL,23,1,0,12,-2,43,0,2,0,9,0,3,0,2000-01,PHX,11,0,4,0,25.6,325,30,[]
15:44,0,60,5,0,0,NHL,24,18,0,52,6,149,0,20,0,12,0,10,0,2001-02,PHX,32,0,28,0,0,1228,78,[]
17:10,0,58,4,0,0,NHL,25,18,0,62,-20,181,0,15,0,9,0,16,0,2002-03,TOT,24,0,34,0,13.3,1407,82,[]
17:02,0,46,3,0,0,NHL,25,14,0,50,-21,142,0,13,0,4,0,15,0,2002-03,PHX,17,0,29,0,12.0,1158,68,[]
17:49,0,12,1,0,0,NHL,25,4,0,12,1,39,0,2,0,5,0,1,0,2002-03,BUF,7,0,5,0,17.9,249,14,[]
18:20,0,65,3,0,0,NHL,26,21,0,70,-7,194,0,17,0,11,0,16,0,2003-04,BUF,28,0,37,0,14.4,1503,82,[]
19:04,0,58,4,0,0,NHL,28,15,0,48,3,147,0,14,0,11,1,17,0,2005-06,BUF,25,0,33,0,17.0,915,48,[]
19:19,0,95,6,0,0,NHL,29,42,0,89,17,234,0,23,0,9,0,21,0,2006-07,BUF,32,0,63,0,13.7,1564,81,"[{'link': '/awards/voting-2007.html#AS', 'name': 'AS-5'}, {'link': '/awards/voting-2007.html#byng', 'name': 'Byng-37'}, {'link': '/awards/voting-2007.html#hart', 'name': 'Hart-11'}]"
18:52,299,72,3,0,17,NHL,30,17,631,68,-22,182,50.5,17,619,14,1,23,28,2007-08,PHI,31,29,41,43,17.0,1490,79,"[{'link': '/awards/voting-2008.html#byng', 'name': 'Byng-24'}]"
15:39,97,25,0,0,6,NHL,31,8,68,26,-1,54,46.3,7,79,4,0,6,8,2008-09,PHI,11,13,14,16,20.4,454,29,[]
16:35,318,53,1,0,17,NHL,32,18,53,71,-2,193,44.2,18,67,8,0,9,31,2009-10,PHI,26,53,27,21,13.5,1244,75,[]
18:19,386,68,6,0,17,NHL,33,25,395,87,20,246,48.2,28,425,6,0,9,33,2010-11,PHI,34,36,34,16,13.8,1410,77,[]
17:22,310,49,3,0,16,NHL,34,20,406,69,5,174,48.9,12,425,4,0,13,18,2011-12,PHI,16,48,33,32,9.2,1215,70,[]
16:04,143,16,1,0,6,NHL,35,7,62,10,-13,87,45.9,3,73,3,0,3,7,2012-13,PHI,6,15,10,13,6.9,546,34,[]
12:46,188,25,1,0,11,NHL,36,10,171,30,1,118,48.9,9,179,4,0,2,22,2013-14,MTL,13,23,12,17,11.0,881,69,[]
12:07,113,12,3,0,9,NHL,37,4,13,18,-7,69,54.2,8,11,0,0,0,23,2014-15,COL,8,19,4,9,11.6,691,57,"[{'link': '/awards/voting-2015.html#byng', 'name': 'Byng-55'}]"
