pim,team,assists,plus_minus,points,league,games_played,year,age,goals
66,Notre Dame Midget Hounds,50,0,88,SMHL,33,1986-87,16,38
136,Notre Dame Hounds,61,0,107,SJHL,56,1987-88,17,46
63,Michigan State Spartans,32,0,59,CCHA,42,1988-89,18,27
4,Canada,3,0,5,WJC-A,7,1988-89,18,2
4,Canada,1,0,2,WC-A,6,1991-92,21,1
6,Canada,1,0,4,WC-A,8,1992-93,22,3
2,Canada,2,0,6,WC-A,8,1993-94,23,4
0,Canada,2,0,3,W-Cup,7,1996-97,26,1
0,Canada,2,0,3,Olympics,6,1997-98,27,1
0,Kloten Flyers,1,0,3,Swiss,2,2004-05,34,2
