pim,team,assists,plus_minus,points,league,games_played,year,age,goals
35,St. Catharines Teepees,13,0,22,OHA-Jr.,46,1948-49,18,9
58,St. Catharines Teepees,17,0,40,OHA-Jr.,47,1949-50,19,23
80,St. Catharines Teepees,23,0,52,OHA-Jr.,51,1950-51,20,29
36,Tacoma Rockets,30,0,58,PCHL,70,1951-52,21,28
37,Tacoma Rockets,24,0,51,WHL,70,1952-53,22,27
24,Seattle Bombers,32,0,81,WHL,70,1953-54,23,49
2,Victoria Cougars,1,0,2,WHL,3,1954-55,24,1
25,Victoria Cougars,26,0,47,WHL,70,1955-56,25,21
14,Victoria Cougars,30,0,57,WHL,70,1956-57,26,27
22,Belleville McFarlands,24,0,50,EOHL,48,1957-58,27,26
46,Belleville McFarlands,29,0,53,EOHL,46,1958-59,28,24
7,Canada,1,0,3,WEC-A,5,1958-59,28,2
6,Belleville McFarlands,28,0,51,EOHL,48,1959-60,29,23
14,Clinton Comets,46,0,76,EHL,53,1960-61,30,30
0,Syracuse Stars,33,0,67,Exhib.,47,1964-65,34,34
24,Belleville Mohawks,20,0,34,OHA-Sr.,35,1966-67,36,14
2,Belleville Mohawks,24,0,38,OHA-Sr.,39,1967-68,37,14
2,Belleville Mohawks,21,0,29,OHA-Sr.,25,1968-69,38,8
12,Belleville Mohawks,9,0,11,OHA-Sr.,20,1969-70,39,2
0,Belleville Quintes,2,0,2,OHA-Sr.,6,1971-72,41,0
0,Belleville Quintes,0,0,0,OHA-Sr.,1,1972-73,42,0
