bad_start,shutouts,points,goals_allowed_average,goals_saved_aboved_average,shots_againist,league,games_started,age,good_start_precentages,saves,pim,goals,good_starts,goals_allowed_precentage,goals_allowed,saves_percentage,year,team,loses,assists,ties,wins,games_played,minutes
0,0,0,0,0,0,WHL,0,17,0,0,0,0,0,0,0,0,2000-01,Spokane Chiefs,0,0,0,0,0,0
0,0,0,2.04,0,288,WHL,0,18,0,265,4,0,0,0,23,.920,2001-02,Spokane Chiefs,5,0,0,6,11,678
0,0,0,3.07,0,436,WHL,0,19,0,399,6,0,0,0,37,.915,2002-03,Spokane Chiefs,7,0,0,4,11,722
0,2,0,1.97,0,209,WHL,0,20,0,194,0,0,0,0,15,.928,2003-04,Calgary Hitmen,4,0,0,3,7,457
0,2,0,1.75,0,247,ECHL,0,21,0,233,4,0,0,0,14,.943,2004-05,Reading Royals,4,0,0,4,8,481
0,1,0,3.66,0,168,AHL,0,22,0,151,2,0,0,0,17,.899,2005-06,Manchester Monarchs,2,0,0,2,5,279
0,0,0,1.81,0,0,AHL,0,23,0,-6,0,0,0,0,6,0,2006-07,Manchester Monarchs,1,0,0,2,5,199
0,1,0,1.78,0,88,AHL,0,24,0,82,0,0,0,0,6,.932,2007-08,Houston Aeros,2,0,0,1,3,202
0,0,0,3.45,0,171,AHL,0,27,0,152,0,0,0,0,19,.889,2010-11,Binghamton Senators,3,0,0,2,6,330
0,1,1,2.26,0,0,Germany,0,28,0,0,29,0,0,0,18,0,2011-12,Straubing Tigers,3,1,0,5,8,477
