pim,team,assists,plus_minus,points,league,games_played,year,age,goals
42,U. of New Hampshire,15,0,32,ECAC,31,1974-75,20,17
36,U. of New Hampshire,12,0,18,ECAC,31,1975-76,21,6
24,U. of New Hampshire,6,0,15,ECAC,38,1976-77,22,9
55,U. of New Hampshire,19,0,28,ECAC,29,1977-78,23,9
99,Rochester Americans,30,0,46,AHL,79,1978-79,24,16
105,Binghamton Dusters,29,0,59,AHL,79,1979-80,25,30
137,New Haven Nighthawks,29,0,54,AHL,69,1980-81,26,25
71,Springfield Indians,39,0,66,AHL,78,1981-82,27,27
61,Tulsa Oilers,33,0,54,CHL,80,1982-83,28,21
95,Tulsa Oilers,30,0,58,CHL,68,1983-84,29,28
64,Rochester Americans,27,0,49,AHL,76,1984-85,30,22
85,Salt Lake Golden Eagles,35,0,58,IHL,78,1985-86,31,23
