pim,team,assists,plus_minus,points,league,games_played,year,age,goals
8,Guelph Indians,1,0,3,OHA-Jr.,5,1936-37,18,2
18,Guelph Indians,6,0,13,OHA-Jr.,9,1937-38,19,7
6,Guelph Indians,0,0,1,M-Cup,3,1937-38,19,1
2,Indianapolis Capitols,0,0,0,IAHL,2,1939-40,21,0
11,Providence Reds,0,0,2,AHL,4,1940-41,22,2
2,Toronto RCAF,2,0,2,OHA-Sr.,1,1942-43,24,0
38,Toronto RCAF,1,0,1,Al-Cup,2,1942-43,24,0
4,Cleveland Barons,0,0,0,AHL,1,1948-49,30,0
16,Sherbrooke Saints,2,0,6,QSHL,8,1949-50,31,4
27,Sherbrooke Saints,7,0,9,Al-Cup,10,1949-50,31,2
