pim,team,assists,plus_minus,points,league,games_played,year,age,goals
7,Regina Pats,7,0,16,WCJHL,68,1973-74,17,9
36,Regina Pats,15,0,32,WCJHL,51,1974-75,18,17
64,Regina Pats,56,0,105,WCJHL,72,1975-76,19,49
41,Springfield Indians,22,0,40,AHL,59,1976-77,20,18
72,Maine Mariners,42,0,82,AHL,78,1977-78,21,40
9,Maine Mariners,4,0,5,AHL,9,1978-79,22,1
23,Dallas Black Hawks,10,0,22,CHL,26,1978-79,22,12
20,Dallas Black Hawks,10,0,25,CHL,33,1979-80,23,15
51,Dallas Black Hawks,29,0,72,CHL,77,1980-81,24,43
79,Dallas Black Hawks,47,0,87,CHL,80,1981-82,25,40
0,Duisburger SC,58,0,113,W.Ger-2,40,1982-83,26,55
44,Kolner EC,7,0,26,W.German,42,1983-84,27,19
36,Kolner EC,20,0,36,W.German,38,1984-85,28,16
22,SV Bayreuth,17,0,29,W.German,36,1985-86,29,12
92,Muskegon Lumberjacks,52,0,86,IHL,80,1986-87,30,34
