pim,team,assists,plus_minus,points,league,games_played,year,age,goals
10,2 Teams,0,0,5,MCHL,19,1913-14,17,5
10,Montreal Northern Electric,0,0,2,MCHL,10,1913-14,17,2
0,Montreal La Casquette,0,0,3,MCHL,9,1913-14,17,3
12,Montreal La Casquette,0,0,3,MCHL,10,1914-15,18,3
20,Laval University,0,0,2,MCHL,9,1915-16,19,2
15,Montreal Nationale,8,0,12,MCHL,9,1918-19,22,4
18,Laval University,3,0,5,IPAHU,10,1919-20,23,2
0,Montreal Nationale,0,0,0,MCHL,5,1922-23,26,0
0,Montreal Nationale,0,0,4,MCHL,10,1923-24,27,4
0,Montreal Nationale,0,0,2,ECHL,14,1924-25,28,2
10,Montreal Nationale,0,0,6,MCHL,9,1925-26,29,6
12,Montreal Bell Telephone,1,0,3,MRTHL,7,1925-26,29,2
16,Montreal Victorias,2,0,4,QSHL,4,1926-27,30,2
0,Montreal Victorias,0,0,26,Exhib.,15,1926-27,30,26
30,Philadelphia Arrows,0,0,0,Can-Am,19,1927-28,31,0
