pim,team,assists,plus_minus,points,league,games_played,year,age,goals
0,Edmonton Strathconas,0,0,1,EJrHL,1,1930-31,16,1
0,2 Teams,1,0,4,EJrHL,13,1931-32,17,3
0,Edmonton Canadians,1,0,3,EJrHL,12,1931-32,17,2
0,Edmonton Strathconas,0,0,1,EJrHL,1,1931-32,17,1
16,Edmonton Canadians,0,0,0,EJrHL,12,1932-33,18,0
12,Edmonton Athletic Club,2,0,8,EJrHL,9,1933-34,19,6
27,Edmonton Eskimos,13,0,32,NWHL,28,1934-35,20,19
33,2 Teams,8,0,25,NWHL,39,1935-36,21,17
27,Edmonton Eskimos,7,0,17,NWHL,24,1935-36,21,10
6,Vancouver Lions,1,0,8,NWHL,15,1935-36,21,7
40,Vancouver Lions,9,0,38,PCHL,40,1936-37,22,29
26,Philadelphia Ramblers,25,0,40,IAHL,48,1937-38,23,15
22,Philadelphia Ramblers,33,0,57,IAHL,54,1938-39,24,24
8,Victoria Army,23,0,44,PCHL,20,1942-43,28,21
0,Nanaimo Clippers,3,0,3,PCHL,3,1943-44,29,0
22,Vancouver Canucks,43,0,81,PCHL,56,1945-46,31,38
44,Vancouver Canucks,40,0,59,PCHL,63,1947-48,33,19
12,Vancouver Canucks,64,0,93,PCHL,70,1948-49,34,29
2,Vancouver Canucks,13,0,22,PCHL,41,1949-50,35,9
