bad_start,shutouts,points,goals_allowed_average,goals_saved_aboved_average,shots_againist,league,games_started,age,good_start_precentages,saves,pim,goals,good_starts,goals_allowed_precentage,goals_allowed,saves_percentage,year,team,loses,assists,ties,wins,games_played,minutes
0,0,0,4.00,0,0,OHA-Jr.,0,16,0,0,0,0,0,0,4,0,1956-57,St. Michael\'s Majors,0,0,0,0,1,60
0,0,0,3.00,0,0,OHA-Jr.,0,17,0,0,0,0,0,0,3,0,1957-58,St. Michael\'s Majors,0,0,0,1,1,60
0,0,0,4.67,0,0,OHA-Jr.,0,18,0,0,0,0,0,0,28,0,1958-59,St. Michael\'s Majors,0,0,0,0,6,360
0,5,0,3.08,0,0,OHA-Jr.,0,19,0,0,0,0,0,0,111,0,1959-60,St. Michael\'s Majors,13,0,5,18,36,2160
0,2,0,3.18,0,0,OHA-Jr.,0,20,0,0,0,0,0,0,94,0,1960-61,St. Michael\'s Majors,20,0,5,12,30,1775
0,1,0,3.55,0,0,EPHL,0,21,0,0,0,0,0,0,103,0,1961-62,Sault Ste. Marie Greyhounds,13,0,3,13,29,1740
0,1,0,3.75,0,0,AHL,0,21,0,0,0,0,0,0,90,0,1961-62,2 Teams,11,0,2,11,24,1440
0,0,0,4.20,0,0,AHL,0,21,0,0,0,0,0,0,21,0,1961-62,Pittsburgh Hornets,2,0,1,2,5,300
0,1,0,3.63,0,0,AHL,0,21,0,0,0,0,0,0,69,0,1961-62,Rochester Americans,9,0,1,9,19,1140
0,1,0,3.95,0,0,AHL,0,22,0,0,0,0,0,0,75,0,1962-63,Rochester Americans,9,0,3,7,19,1140
0,4,0,4.16,0,0,EPHL,0,22,0,0,0,0,0,0,212,0,1962-63,Sudbury Wolves,24,0,10,17,51,3060
0,3,0,2.83,0,0,AHL,0,23,0,0,0,0,0,0,187,0,1963-64,Rochester Americans,25,0,2,38,66,3960
0,5,0,2.68,0,0,AHL,0,24,0,0,0,0,0,0,195,0,1964-65,Rochester Americans,21,0,3,48,72,4359
0,3,0,2.49,0,0,CPHL,0,25,0,0,0,0,0,0,73,0,1965-66,Oklahoma City Blazers,9,0,5,16,30,1760
0,1,0,2.80,0,0,CPHL,0,26,0,0,0,0,0,0,71,0,1966-67,Oklahoma City Blazers,6,0,5,14,26,1520
0,0,0,3.43,0,0,Summit-74,0,34,0,0,0,0,0,0,24,0,1974-75,Canada,3,0,3,1,7,420
0,0,0,6.00,0,0,Ch-Cup,0,38,0,0,0,0,0,0,6,0,1978-79,NHL All-Stars,1,0,0,0,1,60
