pim,team,assists,plus_minus,points,league,games_played,year,age,goals
32,Prince Albert Raiders,9,0,15,WHL,15,1994-95,18,6
74,Prince Albert Raiders,20,0,35,WHL,18,1995-96,19,15
0,Portland Pirates,0,0,0,AHL,1,1996-97,20,0
14,Portland Pirates,4,0,6,AHL,9,1997-98,21,2
22,New Orleans Brass,1,0,2,ECHL,11,1998-99,22,1
4,Portland Pirates,1,0,2,AHL,4,1999-00,23,1
18,Portland Pirates,1,0,2,AHL,3,2000-01,24,1
4,Lowell Lock Monsters,0,0,0,AHL,4,2001-02,25,0
20,Reading Royals,5,0,9,ECHL,15,2003-04,27,4
40,Florida Everblades,7,0,12,ECHL,19,2004-05,28,5
4,Kalamazoo Wings,0,0,1,UHL,7,2005-06,29,1
