pim,team,assists,plus_minus,points,league,games_played,year,age,goals
32,Lac St-Louis Lions,30,0,67,QAAA,37,1985-86,17,37
0,Laval Titan,0,0,0,QMJHL,2,1985-86,17,0
12,Laval Titan,20,0,35,QMJHL,48,1986-87,18,15
19,Granby Bisons,34,0,71,QMJHL,54,1987-88,19,37
68,Granby Bisons,55,0,114,QMJHL,68,1988-89,20,59
0,Kalamazoo Wings,0,0,0,IHL,1,1988-89,20,0
16,Kalamazoo Wings,28,0,53,IHL,57,1989-90,21,25
37,Kalamazoo Wings,36,0,71,IHL,76,1990-91,22,35
46,Kansas City Blades,12,0,26,IHL,36,1991-92,23,14
25,Kansas City Blades,12,0,27,IHL,32,1992-93,24,15
60,Kansas City Blades,21,0,48,IHL,62,1993-94,25,27
24,2 Teams,16,0,35,IHL,56,1994-95,26,19
20,Chicago Wolves,16,0,30,IHL,47,1994-95,26,14
4,Peoria Rivermen,0,0,5,IHL,9,1994-95,26,5
8,San Francisco Spiders,3,0,9,IHL,20,1995-96,27,6
8,Reno Renegades,7,0,10,WCHL,7,1995-96,27,3
4,Jacksonville Lizard Kings,2,0,2,ECHL,3,1995-96,27,0
70,South Carolina Stingrays,56,0,110,ECHL,68,1996-97,28,54
16,Sheffield Steelers,21,0,48,Britain,40,1997-98,29,27
25,Sheffield Steelers,1,0,6,BH-Cup,8,1998-99,30,5
12,Sheffield Steelers,26,0,52,Britain,42,1998-99,30,26
2,Sheffield Steelers,7,0,12,BH-Cup,9,1999-00,31,5
36,Sheffield Steelers,33,0,65,Britain,40,1999-00,31,32
0,Ayr Scottish Eagles,5,0,9,BH-Cup,8,2000-01,32,4
22,Ayr Scottish Eagles,19,0,39,Britain,43,2000-01,32,20
16,Ayr Scottish Eagles,30,0,51,Britain,47,2001-02,33,21
16,South Carolina Stingrays,37,-22,66,ECHL,69,2003-04,35,29
20,South Carolina Stingrays,35,14,59,ECHL,62,2004-05,36,24
