pim,team,assists,plus_minus,points,league,games_played,year,age,goals
22,Richelieu Riverains,29,0,40,QAAA,42,1983-84,15,11
62,Richelieu Riverains,70,0,111,QAAA,42,1984-85,16,41
64,Laval Titan,37,0,58,QMJHL,68,1985-86,17,21
77,Laval Titan,51,0,90,QMJHL,67,1986-87,18,39
115,Laval Titan,67,0,137,QMJHL,67,1987-88,19,70
33,New Haven Nighthawks,20,0,38,AHL,44,1988-89,20,18
47,New Haven Nighthawks,8,0,17,AHL,50,1989-90,21,9
49,Phoenix Roadrunners,37,0,87,IHL,66,1990-91,22,50
68,Phoenix Roadrunners,20,0,39,IHL,39,1991-92,23,19
63,Phoenix Roadrunners,16,0,39,IHL,38,1992-93,24,23
12,Adirondack Red Wings,17,0,34,AHL,29,1992-93,24,17
123,Milwaukee Admirals,51,0,92,IHL,80,1993-94,25,41
77,Milwaukee Admirals,41,0,72,IHL,77,1994-95,26,31
60,Milwaukee Admirals,52,0,85,IHL,82,1995-96,27,33
42,Milwaukee Admirals,24,0,50,IHL,79,1996-97,28,26
56,Revier Lowen Oberhausen,13,0,25,Germany,42,1997-98,29,12
62,2 Teams,12,0,31,Germany,50,1998-99,30,19
0,EHC Eisbaren Berlin,0,0,0,Germany,0,1998-99,30,0
62,Berlin Capitals,12,0,31,Germany,50,1998-99,30,19
52,Berlin Capitals,14,0,25,Germany,51,1999-00,31,11
8,Berlin Capitals,0,0,0,Germany,5,2000-01,32,0
0,St-Laurent Dragons,2,0,2,QSPHL,4,2000-01,32,0
