game_winning_goals,takeaways,plus_minus,shots,faceoff_loses,shorthanded_assists,games_played,assists,faceoff_wins,year,even_strength_assists,shorthanded_goals,goals,power_play_goals,pim,league,shotsPercentage,power_play_assists,hits,faceoff_percentage,blocks,age,total_shots,average_ice_time,awards,points,giveaways,even_strength_goals,total_ice_time,team
0,1,0,0,0,0,1,0,0,2007-08,0,0,0,0,2,NHL,0,0,1,0,0,21,0,8:49,[],0,0,0,9,MTL
1,28,-17,116,6,0,53,9,3,2008-09,7,0,12,3,16,NHL,10.3,2,48,33.3,26,22,188,13:25,[],21,15,9,711,MTL
0,19,-15,54,3,0,47,2,7,2009-10,2,0,2,0,28,NHL,3.7,0,33,70.0,17,23,97,9:47,[],4,7,2,460,TOT
0,15,-12,48,1,0,40,2,2,2009-10,2,0,2,0,26,NHL,4.2,0,26,66.7,16,23,85,9:53,[],4,7,2,396,MTL
0,4,-3,6,2,0,7,0,5,2009-10,0,0,0,0,2,NHL,0.0,0,7,71.4,1,23,12,9:13,[],0,0,0,65,STL
5,24,8,163,34,0,82,25,21,2010-11,17,0,21,6,40,NHL,12.9,8,70,38.2,36,24,286,14:46,[],46,12,15,1210,STL
3,19,12,101,21,0,55,9,8,2011-12,9,0,9,3,27,NHL,8.9,0,48,27.6,18,25,207,14:01,[],18,8,6,771,STL
0,6,-5,33,13,0,29,3,5,2012-13,2,0,3,0,8,NHL,9.1,1,21,27.8,12,26,64,12:19,[],6,6,3,357,TOT
0,3,-4,19,10,0,16,1,4,2012-13,1,0,1,0,2,NHL,5.3,0,11,28.6,8,26,39,11:52,[],2,3,1,190,STL
0,3,-1,14,3,0,13,2,1,2012-13,1,0,2,0,6,NHL,14.3,1,10,25.0,4,26,25,12:51,[],4,3,2,167,NJD
2,22,-15,110,10,0,57,7,5,2013-14,7,0,5,2,26,NHL,4.5,0,55,33.3,40,27,201,14:51,[],12,12,3,847,TOT
0,1,-1,11,0,0,8,1,0,2013-14,1,0,0,0,4,NHL,0.0,0,7,0,1,27,20,11:20,[],1,2,0,91,PIT
2,21,-14,99,10,0,49,6,5,2013-14,6,0,5,2,22,NHL,5.1,0,48,33.3,39,27,181,15:26,[],11,10,3,756,BUF
