game_winning_goals,plus_minus,shots,shorthanded_assists,games_played,assists,year,even_strength_assists,shorthanded_goals,goals,power_play_goals,average_ice_time,league,shotsPercentage,power_play_assists,age,pim,awards,points,even_strength_goals,total_ice_time,team
2,-45,168,1,84,31,1993-94,20,0,20,4,,NHL,11.9,10,18,40,[],51,16,,OTT
2,-22,105,0,47,21,1994-95,11,1,16,4,,NHL,15.2,10,19,14,[],37,11,,OTT
0,-30,77,0,50,12,1995-96,7,0,5,1,,NHL,6.5,5,20,24,[],17,4,,OTT
5,-33,203,0,0,25,1996-97,11,0,26,4,,NHL,12.8,14,21,33,[],51,22,,OTT
5,-8,146,0,75,26,1997-98,19,0,16,8,,NHL,11.0,7,22,14,[],42,8,,TOT
2,-7,68,0,38,9,1997-98,5,0,7,4,,NHL,10.3,4,22,8,[],16,3,,OTT
3,-1,78,0,37,17,1997-98,14,0,9,4,,NHL,11.5,3,22,6,[],26,5,,PHI
1,-13,82,0,63,8,1998-99,4,0,9,4,11:02,NHL,11.0,4,23,4,[],17,5,695,TOT
1,-1,26,0,31,2,1998-99,2,0,3,1,7:59,NHL,11.5,0,23,2,[],5,2,247,PHI
0,-12,56,0,32,6,1998-99,2,0,6,3,13:59,NHL,10.7,4,23,2,[],12,3,447,TBL
1,-5,52,0,58,18,1999-00,13,0,8,1,10:59,NHL,15.4,5,24,23,[],26,7,637,NYR
0,-10,48,0,33,3,2002-03,2,0,4,1,10:57,NHL,8.3,1,27,8,[],7,3,361,PIT
3,-4,145,0,78,31,2003-04,20,0,20,6,15:10,NHL,13.8,11,28,14,"[{'link': '/awards/voting-2004.html#byng', 'name': 'Byng-16'}]",51,14,1183,MIN
1,-6,59,0,46,23,2005-06,12,0,5,2,13:00,NHL,8.5,11,30,12,[],28,3,598,MIN
