assists,year,games_played,points,goals,team,age,pim,plus_minus,league
2,1977-78,2,3,1,Cornwall Royals,17,7,0,QMJHL
4,1978-79,7,6,2,Cornwall Royals,18,29,0,QMJHL
9,1979-80,18,14,5,Cornwall Royals,19,36,0,QMJHL
4,1979-80,5,5,1,Cornwall Royals,19,8,0,M-Cup
3,1980-81,6,4,1,Nova Scotia Voyageurs,20,10,0,AHL
2,1981-82,9,7,5,Nova Scotia Voyageurs,21,11,0,AHL
8,1990-91,10,14,6,HC Ajoie,30,17,0,Swiss-2
6,1991-92,9,9,3,SC Lyss,31,44,0,Swiss-2
5,1992-93,5,9,4,HC Thurgau,32,8,0,Swiss-2
1,1993-94,2,1,0,HC Thurgau,33,2,0,Swiss-2
5,1994-95,6,12,7,HC Thurgau,34,41,0,Swiss-2
6,1995-96,5,9,3,HC Thurgau,35,10,0,Swiss-2
1,1996-97,3,2,1,HC Thurgau,36,8,0,Swiss-2
