game_winning_goals,plus_minus,shots,shorthanded_assists,games_played,assists,year,even_strength_assists,shorthanded_goals,goals,power_play_goals,average_ice_time,league,shotsPercentage,power_play_assists,age,pim,awards,points,even_strength_goals,total_ice_time,team
0,0,0,0,35,7,1925-26,0,0,10,0,,NHL,0,0,23,6,[],17,0,,PTP
0,0,0,0,42,3,1926-27,0,0,12,0,,NHL,0,0,24,4,[],15,0,,PTP
0,0,0,0,44,2,1927-28,0,0,13,0,,NHL,0,0,25,16,[],15,0,,PTP
0,0,0,0,43,3,1928-29,0,0,9,0,,NHL,0,0,26,6,"[{'link': '/awards/voting-1929.html#byng', 'name': 'Byng-2'}]",12,0,,PTP
0,0,0,0,42,17,1929-30,0,0,15,0,,NHL,0,0,27,6,"[{'link': '/awards/voting-1930.html#byng', 'name': 'Byng-4'}]",32,0,,PTP
0,0,0,0,35,5,1930-31,0,0,3,0,,NHL,0,0,28,6,[],8,0,,TOT
0,0,0,0,10,1,1930-31,0,0,1,0,,NHL,0,0,28,2,[],2,0,,PHQ
0,0,0,0,25,4,1930-31,0,0,2,0,,NHL,0,0,28,4,[],6,0,,BOS
0,0,0,0,0,10,1931-32,0,0,5,0,,NHL,0,0,29,6,[],15,0,,TOR
0,0,0,0,19,2,1932-33,0,0,1,0,,NHL,0,0,30,0,[],3,0,,TOR
