assists,year,games_played,points,goals,team,age,pim,plus_minus,league
28,1968-69,56,38,10,2 Teams,19,96,0,OHA-Jr.
11,1968-69,24,15,4,St. Catharines Black Hawks,19,34,0,OHA-Jr.
17,1968-69,32,23,6,London Knights,19,62,0,OHA-Jr.
39,1969-70,68,70,31,Johnstown Jets,20,28,0,EHL
27,1970-71,67,38,11,Johnstown Jets,21,66,0,EHL
41,1971-72,75,66,25,Johnstown Jets,22,66,0,EHL
12,1972-73,64,20,8,Nova Scotia Voyageurs,23,42,0,AHL
24,1973-74,69,32,8,Nova Scotia Voyageurs,24,107,0,AHL
11,1974-75,53,21,10,Nova Scotia Voyageurs,25,127,0,AHL
14,1975-76,72,24,10,Oklahoma City Blazers,26,74,0,CHL
3,1976-77,11,3,0,Rhode Island Reds,27,8,0,AHL
5,1976-77,16,9,4,Oklahoma City Blazers,27,10,0,CHL
21,1977-78,78,37,16,Maine Mariners,28,82,0,AHL
26,1978-79,67,36,10,Maine Mariners,29,63,0,AHL
20,1979-80,78,30,10,Maine Mariners,30,111,0,AHL
7,1980-81,73,10,3,Springfield Indians,31,81,0,AHL
