assists,year,games_played,points,goals,team,age,pim,plus_minus,league
10,1991-92,28,23,13,Spartak ZTS Dubnica nad Vahom,17,12,0,Czech-2
8,1991-92,6,12,4,Czechoslovakia,17,2,0,EJC-A
0,1992-93,4,3,3,HK CAPEH Dubnica nad Vahom,18,0,0,Czech-2
4,1992-93,7,8,4,Czech Republic,18,8,0,WJC-A
17,1992-93,46,28,11,Dukla Trencin,18,0,0,Czech
23,1993-94,41,41,18,P.E.I. Senators,19,8,0,AHL
48,1994-95,61,74,26,P.E.I. Senators,20,23,0,AHL
53,1995-96,48,81,28,P.E.I. Senators,21,44,0,AHL
2,1995-96,5,3,1,Slovakia,21,2,0,WC-A
0,1996-97,3,0,0,Slovakia,22,4,0,W-Cup
1,1996-97,1,2,1,Dukla Trencin,22,0,0,Slovakia
43,1996-97,64,71,28,2 Teams,22,34,0,IHL
13,1996-97,22,21,8,Las Vegas Thunder,22,10,0,IHL
30,1996-97,42,50,20,Grand Rapids Griffins,22,24,0,IHL
2,2001-02,2,3,1,Slovakia,27,2,1,Olympics
2,2002-03,5,4,2,Slovakia,28,4,2,WC-A
4,2003-04,9,8,4,Slovakia,29,4,5,WC-A
2,2004-05,4,2,0,Slovakia,30,2,-2,W-Cup
54,2004-05,54,82,28,Dukla Trencin,30,39,0,Slovakia
5,2004-05,7,7,2,Slovakia,30,2,4,WC-A
5,2005-06,6,7,2,Slovakia,31,2,10,Olympics
2,2006-07,6,4,2,Slovakia,32,12,0,WC-A
7,2009-10,7,10,3,Slovakia,35,2,0,Olympics
42,2010-11,54,60,18,Lokomotiv Yaroslavl,36,29,0,KHL
2,2010-11,6,3,1,Slovakia,36,0,-2,WC-A
