game_winning_goals,plus_minus,shots,shorthanded_assists,games_played,assists,year,even_strength_assists,shorthanded_goals,goals,power_play_goals,average_ice_time,league,shotsPercentage,power_play_assists,age,pim,awards,points,even_strength_goals,total_ice_time,team
0,2,52,1,65,8,1984-85,7,0,2,0,,NHL,3.8,0,19,80,[],10,2,,NYI
0,5,6,0,10,2,1985-86,2,0,1,0,,NHL,16.7,0,20,2,[],3,1,,NYI
0,-3,54,0,30,3,1986-87,1,0,2,0,,NHL,3.7,2,21,67,[],5,2,,NYI
1,22,128,0,68,12,1987-88,8,0,7,4,,NHL,5.5,4,22,113,[],19,3,,NYI
0,9,132,0,65,21,1988-89,9,0,11,6,,NHL,8.3,12,23,155,[],32,5,,NYI
0,2,102,0,76,17,1989-90,14,0,3,1,,NHL,2.9,3,24,163,[],20,2,,NYI
1,-5,100,1,63,9,1990-91,6,0,4,0,,NHL,4.0,2,25,105,[],13,4,,TOT
0,3,34,0,32,2,1990-91,2,0,1,0,,NHL,2.9,0,25,39,[],3,1,,MTL
1,-8,66,1,31,7,1990-91,4,0,3,0,,NHL,4.5,2,25,66,[],10,3,,VAN
1,-3,128,2,77,21,1991-92,10,0,6,2,,NHL,4.7,9,26,229,[],27,4,,VAN
0,32,92,0,80,14,1992-93,9,1,6,0,,NHL,6.5,5,27,171,[],20,5,,VAN
0,2,50,3,55,10,1993-94,6,0,1,0,,NHL,2.0,1,28,72,[],11,1,,VAN
0,-5,67,0,35,3,1994-95,2,0,2,2,,NHL,3.0,1,29,63,[],5,0,,TOT
0,-8,25,0,22,3,1994-95,2,0,1,1,,NHL,4.0,1,29,15,[],4,0,,VAN
0,3,42,0,13,0,1994-95,0,0,1,1,,NHL,2.4,0,29,48,[],1,0,,CHI
0,7,93,1,79,9,1995-96,8,0,1,0,,NHL,1.1,0,30,88,[],10,1,,HAR
1,-7,80,0,67,12,1996-97,10,0,2,1,,NHL,2.5,2,31,63,[],14,1,,TOT
1,-9,59,0,56,10,1996-97,8,0,1,0,,NHL,1.7,2,31,40,[],11,1,,HAR
0,2,21,0,11,2,1996-97,2,0,1,1,,NHL,4.8,0,31,23,[],3,0,,PHX
4,14,104,1,78,10,1997-98,9,0,8,1,,NHL,7.7,0,32,118,[],18,7,,PHX
0,9,39,0,44,2,1998-99,2,0,0,0,18:32,NHL,0.0,0,33,72,[],2,0,815,PHX
0,2,18,0,26,3,1999-00,3,0,0,0,15:25,NHL,0.0,0,34,33,[],3,0,401,TOR
0,4,8,0,14,0,2000-01,0,0,0,0,10:44,NHL,0.0,0,35,18,[],0,0,150,DAL
