assists,year,games_played,points,goals,team,age,pim,plus_minus,league
2,1957-58,2,2,0,Hamilton Tiger Cubs,16,0,0,OHA-Jr.
20,1958-59,54,31,11,Hamilton Tiger Cubs,17,58,0,OHA-Jr.
20,1959-60,48,34,14,Hamilton Tiger Cubs,18,22,0,OHA-Jr.
20,1960-61,48,47,27,Hamilton Red Wings,19,28,0,OHA-Jr.
1,1961-62,5,3,2,Hershey Bears,20,2,0,AHL
16,1961-62,34,33,17,Sudbury Wolves,20,12,0,EPHL
0,1962-63,10,2,2,Edmonton Flyers,21,4,0,WHL
19,1962-63,52,34,15,Pittsburgh Hornets,21,32,0,AHL
19,1963-64,72,28,9,Pittsburgh Hornets,22,18,0,AHL
25,1964-65,52,38,13,Pittsburgh Hornets,23,18,0,AHL
0,1967-68,6,1,1,Baltimore Clippers,26,2,0,AHL
0,1970-71,1,0,0,Rochester Americans,29,2,0,AHL
12,1970-71,45,15,3,Phoenix Roadrunners,29,14,0,WHL
0,1971-72,15,0,0,Tidewater Red Wings,30,4,0,AHL
23,1973-74,51,37,14,Toledo Hornets,32,20,0,IHL
