game_winning_goals,takeaways,plus_minus,shots,faceoff_loses,shorthanded_assists,games_played,assists,faceoff_wins,year,even_strength_assists,shorthanded_goals,goals,power_play_goals,pim,league,shotsPercentage,power_play_assists,hits,faceoff_percentage,blocks,age,total_shots,average_ice_time,awards,points,giveaways,even_strength_goals,total_ice_time,team
3,0,-9,106,0,0,74,10,0,1995-96,7,0,7,1,101,NHL,6.6,3,0,0,0,19,0,,[],17,0,6,,WIN
0,0,-3,100,0,0,63,8,0,1996-97,7,0,4,0,49,NHL,4.0,1,0,0,0,20,0,,[],12,0,4,,PHX
3,0,-3,42,0,0,33,6,0,1997-98,5,0,5,0,35,NHL,11.9,1,0,0,0,21,0,,[],11,0,5,,PHX
0,0,-5,156,0,0,79,16,0,1998-99,15,0,6,0,54,NHL,3.8,1,0,0,0,22,0,12:42,[],22,0,6,1003,PHX
4,0,6,221,0,0,81,25,0,1999-00,23,1,26,1,66,NHL,11.8,2,0,0,0,23,0,16:51,[],51,0,24,1365,PHX
6,0,0,220,0,0,76,37,0,2000-01,20,1,26,6,89,NHL,11.8,17,0,0,0,24,0,19:32,[],63,0,19,1485,PHX
2,0,11,205,0,0,81,29,0,2001-02,23,0,20,6,61,NHL,9.8,6,0,0,0,25,0,18:10,[],49,0,14,1471,PHX
2,0,3,225,0,1,82,37,0,2002-03,23,0,21,7,86,NHL,9.3,13,0,0,0,26,0,18:47,[],58,0,14,1540,PHX
1,0,-11,254,0,1,79,41,0,2003-04,22,2,27,9,47,NHL,10.6,18,0,0,0,27,0,21:46,"[{'link': '/awards/voting-2004.html#AS', 'name': 'AS-10'}]",68,0,16,1719,PHX
7,0,-9,254,0,1,82,36,0,2005-06,11,0,30,17,123,NHL,11.8,24,0,0,0,29,0,19:08,[],66,0,13,1568,PHX
7,0,-14,209,0,0,73,28,0,2006-07,16,0,27,11,73,NHL,12.9,12,0,0,0,30,0,20:27,"[{'link': '/awards/voting-2007.html#byng', 'name': 'Byng-69'}, {'link': '/awards/voting-2007.html#selke', 'name': 'Selke-25'}]",55,0,16,1493,PHX
5,64,4,243,110,7,80,50,77,2007-08,25,2,28,9,59,NHL,11.5,18,158,41.2,17,31,393,20:46,"[{'link': '/awards/voting-2008.html#AS', 'name': 'AS-6'}, {'link': '/awards/voting-2008.html#selke', 'name': 'Selke-42'}]",78,30,17,1661,PHX
4,48,5,230,201,2,82,42,159,2008-09,25,0,31,10,72,NHL,13.5,15,188,44.2,32,32,394,20:15,"[{'link': '/awards/voting-2009.html#AS', 'name': 'AS-6'}, {'link': '/awards/voting-2009.html#byng', 'name': 'Byng-26'}]",73,31,21,1660,PHX
4,49,3,234,83,0,82,37,70,2009-10,26,0,18,5,41,NHL,7.7,11,154,45.8,25,33,415,19:10,"[{'link': '/awards/voting-2010.html#byng', 'name': 'Byng-36'}, {'link': '/awards/clancy.html#2010', 'name': None}]",55,18,13,1571,PHX
6,41,5,221,86,0,72,40,73,2010-11,30,0,20,11,67,NHL,9.0,10,172,45.9,28,34,402,19:17,[],60,36,9,1389,PHX
5,48,-8,226,26,1,79,28,33,2011-12,18,0,22,5,48,NHL,9.7,9,205,55.9,27,35,424,19:36,[],50,30,17,1548,PHX
2,23,6,129,11,0,0,14,4,2012-13,11,0,13,0,37,NHL,10.1,3,118,26.7,10,36,220,18:03,"[{'link': '/awards/voting-2013.html#byng', 'name': 'Byng-43'}]",27,20,13,867,PHX
4,48,-7,167,6,0,69,24,6,2013-14,15,0,23,10,34,NHL,13.8,9,135,50.0,22,37,318,18:56,[],47,20,13,1307,PHX
0,43,-29,189,8,0,79,22,3,2014-15,17,0,14,5,65,NHL,7.4,5,189,27.3,26,38,315,18:53,"[{'link': '/awards/voting-2015.html#byng', 'name': 'Byng-48'}]",36,42,9,1492,ARI
4,33,4,170,69,0,72,19,74,2015-16,14,0,28,12,98,NHL,16.5,5,115,51.7,15,39,290,17:36,[],47,27,16,1267,ARI
0,26,-3,144,105,0,74,21,94,2016-17,19,0,6,3,48,NHL,4.2,2,101,47.2,22,40,239,15:03,[],27,34,3,1114,ARI
