game_winning_goals,plus_minus,shots,shorthanded_assists,games_played,assists,year,even_strength_assists,shorthanded_goals,goals,power_play_goals,average_ice_time,league,shotsPercentage,power_play_assists,age,pim,awards,points,even_strength_goals,total_ice_time,team
0,-2,0,0,1,0,1983-84,0,0,0,0,,NHL,0,0,19,0,[],0,0,,WIN
0,4,2,0,9,0,1984-85,0,0,0,0,,NHL,0.0,0,20,0,[],0,0,,WIN
0,-3,50,0,46,5,1985-86,5,0,0,0,,NHL,0.0,0,21,66,[],5,0,,WIN
0,-4,5,0,9,0,1987-88,0,0,0,0,,NHL,0.0,0,23,2,[],0,0,,QUE
0,-11,11,0,16,3,1988-89,3,0,0,0,,NHL,0.0,0,24,16,[],3,0,,QUE
1,6,59,0,56,5,1990-91,5,0,3,0,,NHL,5.1,0,26,20,[],8,3,,DET
0,4,26,0,27,1,1991-92,1,1,3,0,,NHL,11.5,0,27,20,[],4,2,,DET
0,-1,5,0,6,0,1992-93,0,0,0,0,,NHL,0.0,0,28,2,[],0,0,,DET
1,20,121,0,77,11,1993-94,6,0,9,1,,NHL,7.4,5,29,55,"[{'link': '/awards/voting-1994.html#AS', 'name': 'AS-17'}]",20,8,,MDA
1,-3,70,0,45,13,1994-95,10,1,7,3,,NHL,10.0,3,30,12,[],20,3,,MDA
1,9,117,1,82,22,1995-96,13,1,8,0,,NHL,6.8,8,31,64,[],30,7,,MDA
1,17,96,0,79,14,1996-97,11,0,4,1,,NHL,4.2,3,32,55,[],18,3,,MDA
0,-6,38,0,52,6,1997-98,3,0,2,0,,NHL,5.3,3,33,49,[],8,2,,TOT
0,-12,11,0,22,1,1997-98,1,0,0,0,,NHL,0.0,0,33,27,[],1,0,,MDA
0,6,27,0,30,5,1997-98,2,0,2,0,,NHL,7.4,3,33,22,[],7,2,,EDM
0,-3,34,1,70,8,1998-99,7,0,2,0,15:35,NHL,5.9,0,34,60,[],10,2,1091,PIT
0,6,36,0,50,7,1999-00,7,0,3,1,20:05,NHL,8.3,0,35,28,[],10,2,1004,TOT
0,2,0,0,1,0,1999-00,0,0,0,0,16:10,NHL,0,0,35,0,[],0,0,16,OTT
0,4,36,0,49,7,1999-00,7,0,3,1,20:09,NHL,8.3,0,35,28,[],10,2,988,CGY
0,4,11,0,21,1,2000-01,1,0,1,0,12:53,NHL,9.1,0,36,18,[],2,1,270,TOT
0,4,5,0,16,1,2000-01,1,0,1,0,11:15,NHL,20.0,0,36,14,[],2,1,180,SJS
0,0,6,0,5,0,2000-01,0,0,0,0,18:06,NHL,0.0,0,36,4,[],0,0,91,PIT
