assists,year,games_played,points,goals,team,age,pim,plus_minus,league
1,1980-81,6,1,0,Lac St-Louis Lions,16,0,0,QAAA
8,1981-82,11,10,2,Lac St-Louis Lions,17,20,0,QAAA
5,1982-83,11,10,5,Laval Voisins,18,23,0,QMJHL
8,1983-84,14,9,1,Laval Voisins,19,23,0,QMJHL
1,1983-84,3,1,0,Laval Voisins,19,7,0,M-Cup
6,1984-85,17,9,3,Sherbrooke Canadiens,20,17,0,AHL
4,1986-87,16,6,2,Sherbrooke Canadiens,22,13,0,AHL
2,1987-88,15,4,2,Fredericton Express,23,24,0,AHL
0,1988-89,4,1,1,Halifax Citadels,24,14,0,AHL
4,1991-92,18,11,7,Adirondack Red Wings,27,22,0,AHL
8,1992-93,11,11,3,Adirondack Red Wings,28,8,0,AHL
9,2001-02,16,15,6,Laval Chiefs,37,17,0,QSPHL
