game_winning_goals,plus_minus,shots,shorthanded_assists,games_played,assists,year,even_strength_assists,shorthanded_goals,goals,power_play_goals,average_ice_time,league,shotsPercentage,power_play_assists,age,pim,awards,points,even_strength_goals,total_ice_time,team
0,-1,14,0,38,5,1983-84,5,0,0,0,,NHL,0.0,0,21,60,[],5,0,,QUE
0,1,9,0,22,0,1984-85,0,0,0,0,,NHL,0.0,0,22,33,[],0,0,,QUE
0,0,30,0,36,2,1985-86,2,0,2,0,,NHL,6.7,0,23,85,[],4,2,,QUE
0,-3,14,0,38,2,1986-87,2,0,0,0,,NHL,0.0,0,24,143,[],2,0,,QUE
0,-16,46,0,63,3,1987-88,2,0,4,1,,NHL,8.7,1,25,301,[],7,3,,QUE
0,-20,67,0,73,10,1988-89,10,0,10,1,,NHL,14.9,0,26,274,[],20,9,,TOT
0,-8,14,0,16,0,1988-89,0,0,4,1,,NHL,28.6,0,26,46,[],4,3,,QUE
0,-12,53,0,57,10,1988-89,10,0,6,0,,NHL,11.3,0,26,228,[],16,6,,WIN
0,3,43,0,55,3,1989-90,3,0,3,0,,NHL,7.0,0,27,222,[],6,3,,WIN
0,-13,35,0,57,4,1990-91,4,0,3,0,,NHL,8.6,0,28,265,[],7,3,,WIN
1,-12,30,0,71,3,1991-92,3,0,2,0,,NHL,6.7,0,29,316,[],5,2,,TOT
0,-5,5,0,4,0,1991-92,0,0,0,0,,NHL,0.0,0,29,11,[],0,0,,WIN
1,-7,25,0,67,3,1991-92,3,0,2,0,,NHL,8.0,0,29,305,[],5,2,,BUF
0,5,38,1,60,8,1992-93,7,0,3,0,,NHL,7.9,0,30,221,[],11,3,,BUF
0,-3,7,0,25,1,1993-94,1,0,0,0,,NHL,0.0,0,31,97,[],1,0,,TOT
0,1,2,0,7,0,1993-94,0,0,0,0,,NHL,0.0,0,31,31,[],0,0,,BUF
0,-4,5,0,18,1,1993-94,1,0,0,0,,NHL,0.0,0,31,66,[],1,0,,DAL
0,1,9,0,16,0,1994-95,0,0,1,0,,NHL,11.1,0,32,52,[],1,1,,DAL
