shots_againist,good_start_precentages,ties,saves,minutes,games_played,assists,year,goals,wins,goals_allowed_average,league,games_started,goals_allowed,goals_allowed_precentage,goals_saved_aboved_average,loses,good_starts,saves_percentage,age,pim,shutouts,points,bad_start,team
0,0,0,0,1786,30,0,1969-70,0,0,4.50,NOJHA,0,134,0,0,0,0,0,17,0,0,0,0,North Bay Trappers
0,0,0,0,2745,46,0,1971-72,0,0,4.96,NOJHA,0,227,0,0,0,0,0,19,0,1,0,0,North Bay Trappers
0,0,0,0,840,14,0,1972-73,0,0,7.29,EHL,0,102,0,0,0,0,0,20,0,0,0,0,Cape Cod Cubs
0,0,0,0,842,19,0,1973-74,0,0,5.63,SHL,0,79,0,0,0,0,0,21,0,1,0,0,Macon Whoopees
0,0,0,0,1620,27,0,1974-75,0,0,4.22,OHA-Sr.,0,114,0,0,0,0,0,22,0,1,0,0,Cambridge Hornets
0,0,0,0,1260,21,0,1975-76,0,0,3.86,OHA-Sr.,0,81,0,0,0,0,0,23,0,1,0,0,Cambridge Hornets
0,0,0,0,1260,21,0,1976-77,0,0,3.86,OHA-Sr.,0,81,0,0,0,0,0,24,0,3,0,0,Cambridge Hornets
0,0,0,0,1200,20,0,1977-78,0,0,3.85,OHA-Sr.,0,77,0,0,0,0,0,25,0,1,0,0,Cambridge Hornets
0,0,0,0,960,16,0,1978-79,0,0,5.12,OHA-Int.,0,82,0,0,0,0,0,26,0,0,0,0,Barrie Flyers
0,0,0,0,122,3,0,1979-80,0,1,3.44,Olympics,0,7,0,0,2,0,0,27,0,0,0,0,Canada
0,0,0,0,123,4,0,1979-80,0,1,6.34,CHL,0,13,0,0,1,0,0,27,0,0,0,0,Houston Apollos
0,0,0,0,959,17,0,1980-81,0,0,4.88,IHL,0,78,0,0,0,0,0,28,0,0,0,0,Milwaukee Admirals
0,0,0,0,716,15,0,1980-81,0,0,6.03,EHL,0,72,0,0,0,0,0,28,0,0,0,0,Hampton Aces
