assists,year,games_played,points,goals,team,age,pim,plus_minus,league
6,1977-78,44,9,3,Dukla Jihlava,24,47,0,Czech
9,1978-79,38,12,3,Dukla Jihlava,25,24,0,Czech
1,1978-79,8,2,1,Czechoslovakia,25,8,0,WEC-A
1,1979-80,8,2,1,Czechoslovakia,26,8,0,Nat-Tm
1,1979-80,6,1,0,Czechoslovakia,26,2,0,Olympics
41,1981-82,66,55,14,Cincinnati Tigers,28,57,0,CHL
19,1984-85,36,31,12,ECD Iserlohn,31,52,0,W.German
21,1985-86,44,26,5,EHC Freiburg,32,0,0,W.Ger-2
25,1986-87,36,37,12,ECD Iserlohn,33,33,0,W.German
17,1987-88,33,20,3,EV Landshut,34,33,0,W.German
6,1988-89,32,8,2,2 Teams,35,35,0,W.German
2,1988-89,22,2,0,EV Landshut,35,12,0,W.German
4,1988-89,10,6,2,EHC Freiburg,35,23,0,W.German
8,1989-90,28,12,4,EHC Freiburg,36,17,0,W.German
