assists,year,games_played,points,goals,team,age,pim,plus_minus,league
24,2011-12,29,45,21,Chicago Mission U16,15,2,0,HPHL U16
3,2012-13,9,5,2,Chicago Steel,16,2,4,USHL
33,2012-13,31,52,19,Chicago Mission U18,16,4,0,HPHL U18
8,2013-14,33,14,6,London Knights,17,0,8,OHL
0,2013-14,3,0,0,London Knights,17,0,-1,M-Cup
1,2014-15,2,2,1,Portland Pirates,18,4,2,AHL
68,2014-15,66,109,41,London Knights,18,24,33,OHL
5,2015-16,7,8,3,USA U20,19,0,8,WJC-20
69,2015-16,59,121,52,London Knights,19,27,56,OHL
5,2015-16,4,12,7,London Knights,19,0,9,M-Cup
