pim,team,assists,plus_minus,points,league,games_played,year,age,goals
0,Hammarby IF Stockholm,6,0,16,Sweden-2,22,1966-67,16,10
2,Sweden,1,0,5,EJC-A,5,1967-68,17,4
0,Hammarby IF Stockholm,5,0,12,Sweden,20,1968-69,18,7
10,AIK Solna,9,0,18,Sweden,14,1970-71,20,9
8,AIK Solna,9,0,15,Sweden,14,1971-72,21,6
8,AIK Solna,2,0,7,Sweden,12,1972-73,22,5
4,AIK Solna,6,0,14,Sweden,14,1973-74,23,8
18,AIK Solna,15,0,32,Sweden,30,1974-75,24,17
31,AIK Solna,13,0,27,Sweden,36,1975-76,25,14
30,AIK Solna,14,0,25,Sweden,35,1976-77,26,11
2,Sweden,1,0,6,WEC-A,10,1976-77,26,5
14,AIK Solna,9,0,14,Sweden,23,1977-78,27,5
4,Sweden,5,0,12,WEC-A,10,1977-78,27,7
2,Sweden,3,0,7,WEC-A,6,1978-79,28,4
4,AIK Solna,2,0,4,DN-Cup,4,1981-82,31,2
34,AIK Solna,11,0,27,Sweden,29,1981-82,31,16
6,AIK Solna,15,0,24,Sweden,29,1982-83,32,9
12,Hammarby IF Stockholm,18,0,32,Sweden-2,29,1983-84,33,14
14,Hammarby IF Stockholm,4,0,12,Sweden,20,1984-85,34,8
