pim,team,assists,plus_minus,points,league,games_played,year,age,goals
32,North Bay Black Hawks,18,0,36,EOHL,37,1950-51,21,18
45,North Bay Black Hawks,8,0,21,EOHL,31,1951-52,22,13
67,North Bay Trappers,17,0,35,NOHA,48,1952-53,23,18
33,North Bay Trappers,18,0,30,NOHA,33,1953-54,24,12
52,North Bay Trappers,25,0,43,NOHA,55,1954-55,25,18
50,North Bay Trappers,23,0,43,NOHA,55,1955-56,26,20
0,Cleveland Barons,1,0,1,AHL,1,1955-56,26,0
82,Cleveland Barons,40,0,80,AHL,61,1956-57,27,40
129,Cleveland Barons,37,0,68,AHL,70,1957-58,28,31
72,2 Teams,34,0,54,AHL,64,1958-59,29,20
28,Rochester Americans,7,0,8,AHL,14,1958-59,29,1
44,Providence Reds,27,0,46,AHL,50,1958-59,29,19
75,Providence Reds,27,0,53,AHL,69,1959-60,30,26
46,Providence Reds,20,0,30,AHL,51,1960-61,31,10
112,Pittsburgh Hornets,19,0,40,AHL,64,1961-62,32,21
0,Pittsburgh Hornets,0,0,0,AHL,7,1962-63,33,0
79,Edmonton Flyers,25,0,47,WHL,58,1962-63,33,22
