pim,team,assists,plus_minus,points,league,games_played,year,age,goals
2,Vastra Frolunda HC Goteborg Jr.,3,0,5,Swe-Jr.,8,2001-02,16,2
4,Vastra Frolunda HC Goteborg Jr.,6,0,10,Swe-Jr.,8,2002-03,17,4
0,Vastra Frolunda HC,5,0,6,SEL,10,2003-04,18,1
0,Vastra Frolunda HC Goteborg,5,0,6,Sweden,10,2003-04,18,1
0,Frolunda HC,0,0,0,SEL,12,2004-05,19,0
0,Frolunda HC Goteborg,0,0,0,Sweden,12,2004-05,19,0
0,Iowa Stars,5,0,7,AHL,7,2005-06,20,2
0,Iowa Stars,5,1,7,AHL,7,2005-06,20,2
0,Iowa Stars,5,0,7,AHL,9,2006-07,21,2
0,Iowa Stars,5,-4,7,AHL,9,2006-07,21,2
0,Iowa Stars,0,0,0,AHL,0,2007-08,22,0
