average_ice_time,total_shots,points,game_winning_goals,shorthanded_goals,blocks,league,age,even_strength_assists,faceoff_wins,pim,plus_minus,shots,faceoff_percentage,even_strength_goals,faceoff_loses,power_play_goals,shorthanded_assists,power_play_assists,takeaways,year,team,goals,hits,assists,giveaways,shotsPercentage,total_ice_time,games_played,awards
10:44,0,1,0,0,0,NHL,21,1,0,62,-8,16,0,0,0,0,0,0,0,2001-02,DAL,0,0,1,0,0.0,354,33,[]
10:45,0,2,0,0,0,NHL,22,0,0,29,1,12,0,2,0,0,0,0,0,2002-03,DAL,2,0,0,0,16.7,172,16,[]
12:36,0,1,0,0,0,NHL,23,1,0,84,-9,23,0,0,0,0,0,0,0,2003-04,DAL,0,0,1,0,0.0,403,32,[]
13:03,0,1,0,0,0,NHL,25,0,0,161,-15,32,0,1,0,0,0,0,0,2005-06,TOT,1,0,0,0,3.1,783,60,[]
11:00,0,0,0,0,0,NHL,25,0,0,62,-3,9,0,0,0,0,0,0,0,2005-06,DAL,0,0,0,0,0.0,286,26,[]
14:37,0,1,0,0,0,NHL,25,0,0,99,-12,23,0,1,0,0,0,0,0,2005-06,NYI,1,0,0,0,4.3,497,34,[]
18:03,0,7,0,0,0,NHL,26,4,0,69,-13,14,0,1,0,0,1,1,0,2006-07,WSH,1,0,6,0,7.1,523,29,[]
15:43,108,9,1,0,60,NHL,27,6,0,96,1,48,0,2,0,0,1,0,20,2007-08,WSH,2,102,7,35,4.2,801,51,[]
16:48,128,4,0,0,76,NHL,28,3,0,63,1,50,0,0,0,0,1,0,9,2008-09,WSH,0,128,4,29,0.0,873,52,[]
15:59,107,6,0,0,77,NHL,29,5,0,66,16,50,0,1,0,0,0,0,11,2009-10,WSH,1,107,5,37,2.0,799,50,[]
14:50,123,11,1,0,120,NHL,30,7,0,94,1,58,0,4,0,0,0,0,11,2010-11,WSH,4,165,7,37,6.9,1083,73,[]
12:06,41,2,0,0,27,NHL,31,1,0,51,3,20,0,0,0,0,1,0,4,2011-12,WSH,0,39,2,8,0.0,339,28,[]
18:28,68,6,0,0,62,NHL,32,3,0,34,10,32,0,3,0,0,0,0,4,2012-13,WSH,3,91,3,28,9.4,554,30,[]
15:36,77,4,0,0,66,NHL,33,3,0,56,-5,38,0,1,0,0,0,0,4,2013-14,WSH,1,64,3,12,2.6,577,37,[]
