pim,team,assists,plus_minus,points,league,games_played,year,age,goals
0,Governor Dummer Academy,24,0,43,High-MA,28,2003-04,16,19
0,Governor Dummer Academy,27,0,42,High-MA,28,2004-05,17,15
4,United States,3,5,4,WJ18-A,6,2004-05,17,1
36,Boston College Eagles,9,0,25,H-East,42,2005-06,18,16
43,Boston College Eagles,23,0,46,H-East,42,2006-07,19,23
71,Boston College Eagles,25,0,42,H-East,44,2007-08,20,17
44,Boston College Eagles,18,0,26,H-East,37,2008-09,21,8
20,Worcester Sharks,31,-6,50,AHL,58,2009-10,22,19
16,Worcester Sharks,17,-17,33,AHL,43,2010-11,23,16
18,Worcester Sharks,11,6,20,AHL,20,2011-12,24,9
31,2 Teams,22,-7,30,AHL,57,2012-13,25,8
14,Wilkes-Barre Penguins,14,-1,18,AHL,34,2012-13,25,4
17,Connecticut Whale,8,-6,12,AHL,23,2012-13,25,4
42,Utica Comets,20,-19,39,AHL,54,2013-14,26,19
12,Chicago Wolves,5,-11,7,AHL,39,2014-15,27,2
