pim,team,assists,plus_minus,points,league,games_played,year,age,goals
9,Calgary Buffaloes,8,0,14,AJHL,15,1947-48,18,6
14,Calgary Buffaloes,16,0,43,WCJHL,32,1948-49,19,27
4,Calgary Stampeders,5,0,12,WCSHL,17,1949-50,20,7
12,Calgary Stampeders,37,0,81,WCMHL,57,1950-51,21,44
2,St. Louis Flyers,5,0,13,AHL,23,1951-52,22,8
12,Calgary Stampeders,19,0,44,WHL,39,1952-53,23,25
9,Calgary Stampeders,33,0,62,WHL,47,1953-54,24,29
20,Calgary Stampeders,42,0,77,WHL,70,1954-55,25,35
24,Calgary Stampeders,36,0,79,WHL,69,1955-56,26,43
47,Calgary Stampeders,38,0,79,WHL,68,1956-57,27,41
8,Calgary Stampeders,43,0,88,WHL,58,1957-58,28,45
24,Calgary Stampeders,30,0,59,WHL,60,1958-59,29,29
6,Calgary Stampeders,32,0,60,WHL,59,1959-60,30,28
12,Calgary Stampeders,42,0,68,WHL,59,1960-61,31,26
4,Calgary Stampeders,32,0,67,WHL,61,1961-62,32,35
16,Edmonton Flyers,42,0,65,WHL,65,1962-63,33,23
4,Cincinnati Wings,3,0,6,CPHL,13,1963-64,34,3
2,Portland Buckaroos,10,0,19,WHL,39,1963-64,34,9
4,Drumheller Miners,21,0,34,ASHL,24,1965-66,36,13
