pim,team,assists,plus_minus,points,league,games_played,year,age,goals
0,Peterborough Petes,0,0,0,OHL,1,1986-87,17,0
13,Peterborough Petes,9,0,14,OHL,11,1987-88,18,5
12,Peterborough Petes,17,0,18,OHL,17,1988-89,19,1
0,Peterborough Petes,4,0,4,M-Cup,5,1988-89,19,0
0,Cape Breton Oilers,0,0,0,AHL,1,1989-90,20,0
4,Cape Breton Oilers,4,0,6,AHL,4,1990-91,21,2
5,Hershey Bears,1,0,2,AHL,6,1991-92,22,1
10,Hershey Bears,5,0,7,AHL,9,1993-94,24,2
12,P.E.I. Senators,5,0,7,AHL,11,1994-95,25,2
22,Cleveland Lumberjacks,9,0,9,IHL,14,1996-97,27,0
16,Kokudo Keikado Toyko,2,0,2,Japan,9,1998-99,29,0
8,Kokudo Keikado Toyko,6,0,7,Japan,7,1999-00,30,1
12,Kokudo Keikado Toyko,2,0,2,Japan,6,2000-01,31,0
8,Springfield Falcons,3,-5,5,AHL,6,2002-03,33,2
