pim,team,assists,plus_minus,points,league,games_played,year,age,goals
0,Toronto Aura Lee,4,0,8,OHA-Jr.,10,1924-25,17,4
8,Springfield Indians,0,0,1,Can-Am,4,1927-28,20,1
0,Boston Tigers,0,0,0,Can-Am,5,1929-30,22,0
28,Boston Tigers,5,0,8,Can-Am,9,1930-31,23,3
4,St. Paul/Tulsa,1,0,1,AHA,4,1932-33,25,0
4,Detroit Olympics,1,0,1,IHL,6,1933-34,26,0
6,Detroit Olympics,2,0,2,IHL,5,1934-35,27,0
6,Detroit Olympics,2,0,2,IHL,6,1935-36,28,0
0,Cleveland Barons,0,0,0,IAHL,2,1937-38,30,0
0,Cleveland Barons,1,0,1,IAHL,9,1938-39,31,0
0,Minneapolis Millers,0,0,0,AHA,3,1940-41,33,0
0,Cleveland Barons,0,0,0,AHL,1,1942-43,35,0
7,Cleveland Barons,1,0,1,AHL,10,1943-44,36,0
