pim,team,assists,plus_minus,points,league,games_played,year,age,goals
14,Gregg Distributors Canadians,13,0,25,AMHL,34,2004-05,17,12
48,Gregg Distributors Canadians,17,0,37,AMHL,34,2005-06,18,20
0,Fort Saskatchewan Traders,0,0,2,AJHL,3,2005-06,18,2
75,Fort Saskatchewan Traders,34,0,83,AJHL,58,2006-07,19,49
18,University of North Dakota,11,0,15,WCHA,43,2007-08,20,4
48,University of North Dakota,12,0,25,WCHA,42,2008-09,21,13
21,University of North Dakota,8,0,19,WCHA,24,2009-10,22,11
42,University of North Dakota,24,0,60,WCHA,44,2010-11,23,36
20,Toronto Marlies,4,-2,18,AHL,23,2011-12,24,14
14,Toronto Marlies,8,7,17,AHL,21,2012-13,25,9
26,Toronto Marlies,22,10,48,AHL,59,2014-15,27,26
