pim,team,assists,plus_minus,points,league,games_played,year,age,goals
0,Winnipeg Falcons,7,0,20,MHL-Sr.,11,1913-14,18,13
0,Winnipeg Falcons,5,0,15,MHL-Sr.,8,1914-15,19,10
14,Winnipeg Falcons,3,0,16,MHL-Sr.,6,1915-16,20,13
40,Winnipeg 223rd Battalion,3,0,20,MHL-Sr.,8,1916-17,21,17
12,Winnipeg Falcons,5,0,28,MHL-Sr.,10,1919-20,24,23
7,Canada,0,0,12,Olympics,3,1919-20,24,12
3,Victoria Aristocrats,12,0,32,PCHA,21,1920-21,25,20
26,Victoria Aristocrats,10,0,25,PCHA,24,1921-22,26,15
26,Victoria Cougars,16,0,55,PCHA,30,1922-23,27,39
28,Victoria Cougars,8,0,27,PCHA,30,1923-24,28,19
43,Victoria Cougars,8,0,30,WCHL,28,1924-25,29,22
89,Victoria Cougars,8,0,24,WHL,30,1925-26,30,16
2,Detroit Olympics,1,0,1,IHL,6,1930-31,35,0
