pim,team,assists,plus_minus,points,league,games_played,year,age,goals
156,Kelowna Rockets,0,-11,9,WHL,52,1998-99,18,9
204,Kelowna Rockets,2,-4,6,WHL,58,1999-00,19,4
20,Lowell Lock Monsters,0,0,0,AHL,5,2000-01,20,0
79,Tallahassee Tiger Sharks,3,7,8,ECHL,42,2000-01,20,5
284,Columbus Cottonmouths,7,1,10,ECHL,45,2001-02,21,3
71,2 Teams,0,-1,0,AHL,24,2001-02,21,0
37,Hamilton Bulldogs,0,0,0,AHL,13,2001-02,21,0
34,Saint John Flames,0,-1,0,AHL,11,2001-02,21,0
33,Milwaukee Admirals,2,0,3,AHL,13,2002-03,22,1
144,Columbus Cottonmouths,4,-6,6,ECHL,33,2002-03,22,2
10,Worcester IceCats,0,0,0,AHL,4,2003-04,23,0
149,Columbus Cottonmouths,9,9,12,ECHL,64,2003-04,23,3
179,Springfield Falcons,1,-2,4,AHL,45,2004-05,24,3
212,Springfield Falcons,5,-9,11,AHL,69,2005-06,25,6
144,Springfield Falcons,1,-16,1,AHL,63,2006-07,26,0
34,Hartford Wolf Pack,4,3,5,AHL,11,2007-08,27,1
58,Bridgeport Sound Tigers,2,-3,2,AHL,36,2008-09,28,0
157,Norfolk Admirals,4,-14,6,AHL,73,2009-10,29,2
36,Norfolk Admirals,1,0,1,AHL,11,2010-11,30,0
