bad_start,shutouts,awards,points,goals_allowed_average,goals_saved_aboved_average,shots_againist,league,good_starts,age,good_start_precentages,saves,pim,goals,games_started,goals_allowed_precentage,goals_allowed,saves_percentage,year,team,loses,goalie_point_share,assists,ties,wins,games_played,minutes
0,0,"[{'link': '/awards/nhl_all_star.html#1982', 'name': None}, {'link': '/awards/voting-1982.html#calder', 'name': 'Calder-3'}, {'link': '/awards/voting-1982.html#vezina', 'name': 'Vezina-2'}]",6,3.31,0,0,NHL,0,19,0,0,6,0,0,0,157,0,1981-82,EDM,5,9.9,6,0,28,48,2847
0,0,[],0,4.29,0,0,NHL,0,20,0,0,6,0,0,0,129,0,1982-83,EDM,12,3.8,0,5,13,32,1803
0,1,"[{'link': '/awards/voting-1984.html#vezina', 'name': 'Vezina-6'}]",14,3.91,14.09,1463,NHL,0,21,0,1292,6,0,0,92,171,.883,1983-84,EDM,10,8.8,14,4,0,45,2625
0,1,"[{'link': '/awards/voting-1985.html#AS', 'name': 'AS-9'}, {'link': '/awards/voting-1985.html#vezina', 'name': 'Vezina-6'}]",3,3.87,13.86,1426,NHL,0,22,0,1261,6,0,0,92,165,.884,1984-85,EDM,8,8.7,3,7,26,46,2559
0,0,"[{'link': '/awards/voting-1986.html#AS', 'name': 'AS-3'}, {'link': '/awards/voting-1986.html#vezina', 'name': 'Vezina-3'}]",2,3.93,19.94,1296,NHL,0,23,0,1153,0,0,0,88,143,.890,1985-86,EDM,8,8.3,2,0,29,40,2184
0,0,"[{'link': '/awards/voting-1987.html#AS', 'name': 'AS-3'}, {'link': '/awards/voting-1987.html#vezina', 'name': 'Vezina-3'}]",2,3.44,0.83,1149,NHL,0,24,0,1012,6,0,0,99,137,.881,1986-87,EDM,13,6.3,2,3,22,44,2388
0,0,"[{'link': '/awards/nhl_all_star.html#1988', 'name': None}, {'link': '/awards/voting-1988.html#hart', 'name': 'Hart-2'}, {'link': '/awards/vezina.html#1988', 'name': None}]",8,3.43,2.26,0,NHL,0,25,0,0,16,0,0,99,0,.881,1987-88,EDM,24,0,8,0,0,0,0
0,1,"[{'link': '/awards/voting-1989.html#AS', 'name': 'AS-8'}, {'link': '/awards/voting-1989.html#vezina', 'name': 'Vezina-5'}]",1,3.83,-6.30,1714,NHL,0,26,0,1501,6,0,0,103,213,.876,1988-89,EDM,26,8.7,1,6,23,59,3341
0,1,[],0,3.89,-6.76,532,NHL,0,27,0,462,2,0,0,111,70,.868,1989-90,EDM,7,2.3,0,3,9,21,1081
0,1,[],0,3.01,4.31,380,NHL,0,28,0,341,0,0,0,90,39,.897,1990-91,EDM,4,2.4,0,3,6,13,778
0,2,"[{'link': '/awards/voting-1992.html#AS', 'name': 'AS-9'}]",1,3.66,-13.81,1933,NHL,0,29,0,1703,4,0,0,106,0,.881,1991-92,TOR,0,9.2,1,5,25,66,3774
0,1,"[{'link': '/awards/voting-1993.html#AS', 'name': 'AS-8'}]",0,3.30,13.98,1729,NHL,0,30,0,1544,10,0,0,93,185,.893,1992-93,TOT,24,10.2,0,6,24,58,3359
0,1,"[{'link': '/awards/voting-1993.html#AS', 'name': 'AS-8'}]",0,3.14,8.06,826,NHL,0,30,0,739,0,0,0,92,87,.895,1992-93,TOR,9,5.0,0,4,13,29,1665
0,0,"[{'link': '/awards/voting-1993.html#AS', 'name': 'AS-8'}]",0,3.47,5.92,903,NHL,0,30,0,805,10,0,0,94,98,.891,1992-93,BUF,15,5.2,0,2,11,29,1694
0,2,"[{'link': '/awards/jennings.html#1994', 'name': None}]",4,3.68,-10.83,907,NHL,0,31,0,801,16,0,0,111,106,.883,1993-94,BUF,12,3.9,4,3,13,32,1726
0,0,[],0,4.03,-12.87,464,NHL,0,32,0,405,2,0,0,128,59,.873,1994-95,TOT,9,1.3,0,3,2,17,878
0,0,[],0,4.00,0,85,NHL,0,32,0,73,0,0,0,0,12,.859,1994-95,BUF,2,0.1,0,0,1,3,180
0,0,[],0,4.04,-9.32,379,NHL,0,32,0,332,2,0,0,125,47,.876,1994-95,LAK,7,1.2,0,3,1,14,698
0,3,"[{'link': '/awards/voting-1996.html#AS', 'name': 'AS-6'}, {'link': '/awards/voting-1996.html#byng', 'name': 'Byng-13'}, {'link': '/awards/voting-1996.html#hart', 'name': 'Hart-6'}, {'link': '/awards/voting-1996.html#vezina', 'name': 'Vezina-6'}]",1,2.87,10.11,0,NHL,0,33,0,0,8,0,0,95,209,.903,1995-96,STL,28,12.5,1,0,30,0,4365
0,3,[],2,2.72,-8.17,1940,NHL,0,34,0,1747,6,0,0,104,193,.901,1996-97,STL,27,9.8,2,11,33,73,4261
0,3,[],2,2.53,-11.05,1354,NHL,0,35,0,1216,6,0,0,109,138,.898,1997-98,STL,21,6.8,2,6,29,58,3274
0,2,[],0,2.44,-12.74,827,NHL,0,36,0,738,12,0,0,117,89,.892,1998-99,STL,11,3.4,0,8,16,39,2193
0,0,[],0,3.83,-25.75,536,NHL,0,37,0,459,2,0,0,150,77,.856,1999-00,CGY,13,0.5,0,2,5,23,1205
