bad_start,shutouts,points,goals_allowed_average,goals_saved_aboved_average,shots_againist,league,games_started,age,good_start_precentages,saves,pim,goals,good_starts,goals_allowed_precentage,goals_allowed,saves_percentage,year,team,loses,assists,ties,wins,games_played,minutes
0,0,0,5.67,0,0,WHL,0,17,0,0,0,0,0,0,17,0,1990-91,Portland Winter Hawks,3,0,0,0,3,180
0,0,0,5.38,0,0,BCJHL,0,17,0,0,0,0,0,0,75,0,1990-91,2 Teams,0,0,0,1,18,836
0,0,0,5.11,0,0,BCJHL,0,17,0,0,0,0,0,0,64,0,1990-91,Bellingham Ice Hawks,0,0,0,0,16,751
0,0,0,7.76,0,0,BCJHL,0,17,0,0,0,0,0,0,11,0,1990-91,Chilliwack Chiefs,0,0,0,1,2,85
0,2,0,4.44,0,0,WHL,0,18,0,0,0,0,0,0,269,0,1991-92,Portland Winter Hawks,30,0,4,27,63,3635
0,2,0,3.99,0,0,WHL,0,19,0,0,0,0,0,0,153,0,1992-93,Portland Winter Hawks,16,0,1,21,38,2302
0,1,0,4.18,0,0,WHL,0,20,0,0,0,0,0,0,212,0,1993-94,Prince Albert Raiders,25,0,3,24,53,3041
0,0,0,4.13,0,1678,AHL,0,21,0,1471,0,0,0,0,207,.877,1994-95,Cape Breton Oilers,28,0,5,17,54,3010
0,0,0,4.13,0,612,AHL,0,22,0,532,0,0,0,0,80,.869,1995-96,Cape Breton Oilers,11,0,0,8,21,1162
0,0,0,3.50,0,841,AHL,0,23,0,750,0,0,0,0,91,.892,1996-97,Hamilton Bulldogs,14,0,4,7,29,1558
0,0,0,4.00,0,56,ECHL,0,23,0,48,0,0,0,0,8,.857,1996-97,Wheeling Nailers,0,0,0,1,3,120
0,1,0,3.20,0,1246,ECHL,0,24,0,1130,0,0,0,0,116,.907,1997-98,Raleigh IceCaps,14,0,3,19,39,2173
0,0,0,3.50,0,58,AHL,0,24,0,51,0,0,0,0,7,.879,1997-98,Syracuse Crunch,1,0,0,1,2,120
0,0,0,3.20,0,143,ECHL,0,25,0,127,0,0,0,0,16,.888,1998-99,Augusta Lynx,0,0,0,5,5,300
0,2,1,3.28,0,1225,AHL,0,25,0,1101,4,0,0,0,124,.899,1998-99,3 Teams,21,1,5,10,41,2265
0,2,1,2.90,0,760,AHL,0,25,0,691,4,0,0,0,69,.909,1998-99,Portland Pirates,11,1,3,8,26,1429
0,0,0,4.15,0,69,AHL,0,25,0,60,0,0,0,0,9,.870,1998-99,Providence Bruins,2,0,0,0,3,130
0,0,0,3.91,0,396,AHL,0,25,0,350,0,0,0,0,46,.884,1998-99,Syracuse Crunch,8,0,2,2,12,706
0,0,0,3.25,0,0,Nat-Tm,0,26,0,0,0,0,0,0,83,0,1999-00,Canada,10,0,2,13,29,1530
0,0,1,2.42,0,35,AHL,0,26,0,30,0,0,0,0,5,.857,1999-00,Hamilton Bulldogs,1,1,1,0,2,124
0,0,0,3.33,0,1243,AHL,0,27,0,1125,2,0,0,0,118,.905,2000-01,Hamilton Bulldogs,22,0,2,12,37,2129
0,2,0,2.54,0,0,Britain,0,28,0,0,0,0,0,0,104,0,2001-02,Ayr Scottish Eagles,16,0,7,18,41,2459
0,3,0,2.56,0,0,Sweden,0,29,0,0,54,0,0,0,104,0,2002-03,Djurgardens IF Stockholm,0,0,0,0,42,2441
0,1,1,2.92,0,0,Germany,0,30,0,0,12,0,0,0,137,0,2003-04,Kassel Huskies,0,1,0,0,48,2816
0,2,0,3.19,0,0,Germany,0,31,0,0,2,0,0,0,107,0,2004-05,Kassel Huskies,0,0,0,0,35,2012
0,1,1,3.17,0,0,Germany,0,32,0,0,12,0,0,0,155,0,2005-06,Kassel Huskies,0,1,0,0,50,2930
