bad_start,shutouts,points,goals_allowed_average,goals_saved_aboved_average,shots_againist,league,games_started,age,good_start_precentages,saves,pim,goals,good_starts,goals_allowed_precentage,goals_allowed,saves_percentage,year,team,loses,assists,ties,wins,games_played,minutes
0,0,0,7.45,0,0,TBJHL,0,14,0,0,0,0,0,0,82,0,1952-53,Port Arthur Bruins,0,0,0,0,11,660
0,0,0,4.17,0,0,TBJHL,0,15,0,0,0,0,0,0,150,0,1953-54,Port Arthur Bruins,15,0,1,20,36,2160
0,0,0,3.13,0,0,TBJHL,0,17,0,0,0,0,0,0,97,0,1955-56,Port Arthur North Stars,10,0,2,19,31,1860
0,6,0,2.59,0,0,OHA-Jr.,0,18,0,0,0,0,0,0,102,0,1956-57,Guelph Biltmores,0,0,0,0,40,2360
0,1,0,4.10,0,0,OHA-Jr.,0,19,0,0,0,0,0,0,205,0,1957-58,Guelph Biltmores,32,0,5,13,50,3000
0,0,0,1.00,0,0,AHL,0,19,0,0,0,0,0,0,1,0,1957-58,Providence Reds,0,0,0,1,1,60
0,7,0,3.06,0,0,WHL,0,20,0,0,0,0,0,0,199,0,1958-59,Vancouver Canucks,26,0,10,29,65,3900
0,4,0,3.24,0,0,AHL,0,21,0,0,0,0,0,0,231,0,1959-60,Providence Reds,32,0,2,37,71,4280
0,0,0,4.47,0,0,AHL,0,22,0,0,0,0,0,0,85,0,1960-61,Providence Reds,13,0,0,6,19,1140
0,2,0,2.62,0,0,WHL,0,23,0,0,0,0,0,0,108,0,1961-62,Portland Buckaroos,11,0,2,28,41,2476
0,1,0,3.24,0,0,EPHL,0,24,0,0,0,0,0,0,220,0,1962-63,Kingston Frontenacs,18,0,11,39,68,4080
0,0,0,3.90,0,0,AHL,0,25,0,0,0,0,0,0,80,0,1963-64,Springfield Indians,12,0,3,5,21,1230
0,4,0,2.87,0,0,CPHL,0,27,0,0,0,0,0,0,155,0,1965-66,Tulsa Oilers,24,0,9,21,54,3240
0,0,0,3.43,0,0,CPHL,0,28,0,0,0,0,0,0,24,0,1966-67,Tulsa Oilers,4,0,1,2,7,420
0,0,0,5.00,0,0,AHL,0,28,0,0,0,0,0,0,25,0,1966-67,Rochester Americans,3,0,0,2,5,300
