pim,team,assists,plus_minus,points,league,games_played,year,age,goals
146,Brantford Penguins,45,0,91,ON-Jr.B,36,1980-81,16,46
112,Oshawa Generals,51,0,74,OHL,66,1981-82,17,23
90,Oshawa Generals,64,0,105,OHL,64,1982-83,18,41
89,Oshawa Generals,76,0,132,OHL,62,1983-84,19,56
65,Toledo Goaldiggers,53,0,105,IHL,81,1984-85,20,52
102,2 Teams,44,0,79,AHL,73,1985-86,21,35
14,New Haven Nighthawks,12,0,23,AHL,17,1985-86,21,11
88,Hershey Bears,32,0,56,AHL,56,1985-86,21,24
0,HC Ambri-Piotta,0,0,3,Swiss,3,1986-87,22,3
48,2 Teams,19,0,36,AHL,49,1986-87,22,17
20,New Haven Nighthawks,11,0,21,AHL,29,1986-87,22,10
28,Hershey Bears,8,0,15,AHL,20,1986-87,22,7
11,Newmarket Saints,7,0,9,AHL,16,1987-88,23,2
