pim,team,assists,plus_minus,points,league,games_played,year,age,goals
89,Sherbrooke Castors,41,0,67,QMJHL,71,1978-79,16,26
119,2 Teams,40,0,61,QMJHL,59,1979-80,17,21
14,Sherbrooke Castors,15,0,21,QMJHL,16,1979-80,17,6
105,Verdun/Sorel Blackhawks,25,0,40,QMJHL,43,1979-80,17,15
157,Sorel Eperviers,40,0,90,QMJHL,70,1980-81,18,50
4,Canada,0,0,2,WJC-A,5,1980-81,18,2
93,Hull Olympiques,50,0,100,QMJHL,56,1981-82,19,50
58,Fredericton Express,17,0,28,AHL,67,1982-83,20,11
80,Fredericton Express,28,0,42,AHL,62,1983-84,21,14
32,Fredericton Express,9,0,19,AHL,27,1984-85,22,10
66,Fredericton Express,26,0,42,AHL,58,1985-86,23,16
15,Fredericton Express,1,0,2,AHL,17,1986-87,24,1
6,Muskegon Lumberjacks,3,0,4,IHL,5,1986-87,24,1
26,HC Mont-Blanc,17,0,36,France-2,23,1987-88,25,19
20,Paris Francais Volants,29,0,64,France,37,1988-89,26,35
18,Paris Francais Volants,29,0,69,France,36,1989-90,27,40
16,Paris Francais Volants,18,0,39,France,28,1990-91,28,21
32,Paris Francais Volants,28,0,66,France-2,33,1991-92,29,38
32,HC Lyon,24,0,53,France-2,20,1993-94,31,29
30,HC Lyon,19,0,46,France-2,28,1994-95,32,27
34,HC Lyon,19,0,41,France-2,27,1995-96,33,22
