pim,team,assists,plus_minus,points,league,games_played,year,age,goals
30,University of Denver,8,0,16,WCHA,41,2002-03,19,8
32,University of Denver,25,0,43,WCHA,42,2003-04,20,18
46,University of Denver,31,0,57,WCHA,43,2004-05,21,26
35,University of Denver,24,0,39,WCHA,38,2005-06,22,15
54,Manchester Monarchs,28,16,42,AHL,69,2006-07,23,14
43,Manchester Monarchs,37,-13,60,AHL,61,2007-08,24,23
32,Manchester Monarchs,30,2,42,AHL,69,2008-09,25,12
36,Manchester Monarchs,27,-21,35,AHL,71,2009-10,26,8
4,Victoria Salmon Kings,0,0,0,ECHL,2,2010-11,27,0
0,Syracuse Crunch,0,0,0,AHL,4,2010-11,27,0
