bad_start,shutouts,points,goals_allowed_average,goals_saved_aboved_average,shots_againist,league,games_started,age,good_start_precentages,saves,pim,goals,good_starts,goals_allowed_precentage,goals_allowed,saves_percentage,year,team,loses,assists,ties,wins,games_played,minutes
0,0,0,4.86,0,0,Swiss-2,0,20,0,0,0,0,0,0,18,0,1994-95,SC Langnau,0,0,0,0,5,222
0,0,0,3.18,0,0,Swiss-2,0,22,0,0,0,0,0,0,121,0,1996-97,SC Langnau,0,0,0,0,38,2286
0,2,0,3.48,0,0,Swiss-2,0,23,0,0,0,0,0,0,141,0,1997-98,SC Langnau,0,0,0,0,40,2430
0,1,0,4.83,0,0,Swiss,0,24,0,0,0,0,0,0,203,0,1998-99,SC Langnau,0,0,0,0,42,2521
0,3,0,3.64,0,0,Swiss,0,25,0,0,0,0,0,0,161,0,1999-00,SC Langnau,0,0,0,0,44,2652
0,0,0,3.50,0,0,WC-A,0,25,0,0,0,0,0,0,7,0,1999-00,Switzerland,1,0,0,1,2,120
0,3,0,2.56,0,0,Swiss,0,26,0,0,0,0,0,0,114,0,2000-01,SCL Tigers Langnau,0,0,0,0,44,2671
0,0,0,2.68,0,0,WC-A,0,26,0,0,0,0,0,0,16,0,2000-01,Switzerland,4,0,0,2,6,358
0,4,0,1.96,0,0,Sweden,0,27,0,0,6,0,0,0,87,0,2001-02,Farjestads BK Karlstad,0,0,0,0,44,2664
0,0,0,1.52,0,0,Olympics,0,27,0,0,0,0,0,0,4,0,2001-02,Switzerland,1,0,1,1,3,158
0,0,0,3.00,0,0,WC-A,0,27,0,0,0,0,0,0,12,0,2001-02,Switzerland,0,0,0,0,4,240
0,0,0,2.00,0,41,AHL,0,28,0,39,0,0,0,0,2,.951,2002-03,Cincinnati Mighty Ducks,0,0,0,1,1,60
0,2,0,1.84,0,0,WC-A,0,29,0,0,0,0,0,0,11,0,2003-04,Switzerland,2,0,2,2,6,358
0,0,0,2.90,0,0,Swiss,0,30,0,0,6,0,0,0,59,0,2004-05,SCL Tigers Langnau,10,0,4,6,20,1220
0,4,1,1.90,0,0,Sweden,0,30,0,0,12,0,0,0,58,0,2004-05,Farjestads BK Karlstad,6,1,4,20,30,1827
0,0,0,1.33,0,0,Oly-Q,0,30,0,0,0,0,0,0,4,0,2004-05,Switzerland,0,0,0,3,3,180
0,1,0,1.67,0,186,WC-A,0,30,0,176,0,0,0,0,10,.946,2004-05,Switzerland,3,0,0,3,6,359
0,1,0,4.13,0,0,Olympics,0,31,0,0,0,0,0,0,11,0,2005-06,Switzerland,2,0,0,1,3,160
0,0,0,3.15,0,0,WC-A,0,33,0,0,0,0,0,0,14,0,2007-08,Switzerland,2,0,0,3,5,267
0,1,0,2.91,0,422,AHL,0,34,0,384,0,0,0,0,38,.910,2008-09,Binghamton Senators,7,0,0,6,14,783
0,1,0,2.31,0,134,WC-A,0,34,0,120,0,0,0,0,14,.896,2008-09,Switzerland,3,0,0,3,6,364
0,2,0,2.19,0,0,KHL,0,35,0,0,27,0,0,0,64,0,2009-10,Atlant Moscow Region,0,0,0,0,30,1750
0,1,0,1.41,0,109,WC-A,0,35,0,102,0,0,0,0,7,.936,2009-10,Switzerland,2,0,0,3,5,298
0,4,1,2.60,0,1207,AHL,0,36,0,1100,12,0,0,0,107,.911,2010-11,Oklahoma City Barons,16,1,4,20,42,2472
0,4,0,2.18,0,0,Sweden,0,37,0,0,2,0,0,0,88,0,2011-12,Vaxjo Lakers HC,0,0,0,0,42,2417
0,1,1,2.83,0,0,Sweden,0,38,0,0,47,0,0,0,116,0,2012-13,Rogle BK Angelholm,31,1,0,11,43,2457
0,0,0,2.78,0,0,Sweden-Q,0,38,0,0,2,0,0,0,21,0,2012-13,Rogle BK Angelholm,6,0,0,2,8,454
0,0,0,1.81,0,143,WC-A,0,38,0,132,0,0,0,0,11,.923,2012-13,Switzerland,2,0,0,4,6,365
