pim,team,assists,plus_minus,points,league,games_played,year,age,goals
0,Greenway Raiders,23,0,37,High-MN,23,1985-86,16,14
0,Greenway Raiders,34,0,69,High-MN,26,1986-87,17,35
14,University of Minnesota,14,0,28,WCHA,44,1987-88,18,14
2,University of Minnesota,11,0,20,WCHA,44,1988-89,19,9
24,University of Minnesota,17,0,49,WCHA,44,1989-90,20,32
24,University of Minnesota,20,0,43,WCHA,44,1990-91,21,23
2,Fort Wayne Komets,6,0,13,IHL,13,1991-92,22,7
9,Moncton Hawks,18,0,26,AHL,43,1991-92,22,8
20,Moncton Hawks,29,0,47,AHL,71,1992-93,23,18
12,Moncton Hawks,25,0,47,AHL,71,1993-94,24,22
24,Binghamton Rangers,25,0,53,AHL,80,1994-95,25,28
38,Binghamton Rangers,29,0,73,AHL,63,1995-96,26,44
30,Binghamton Rangers,18,0,31,AHL,46,1996-97,27,13
26,Hartford Wolf Pack,28,22,63,AHL,80,1997-98,28,35
32,Hartford Wolf Pack,26,-1,49,AHL,70,1998-99,29,23
0,United States,1,0,1,WC-Q,3,1998-99,29,0
24,Hartford Wolf Pack,29,21,57,AHL,79,1999-00,30,28
39,Hartford Wolf Pack,27,6,49,AHL,80,2000-01,31,22
19,Hartford Wolf Pack,31,13,49,AHL,75,2001-02,32,18
22,Hartford Wolf Pack,19,14,36,AHL,72,2002-03,33,17
28,Hartford Wolf Pack,19,14,31,AHL,77,2003-04,34,12
18,Hartford Wolf Pack,8,4,13,AHL,66,2004-05,35,5
